,Area_Name,Date,Date.1,Year,Month,Employment,Unemployment,Unemployment_Rate
5591,San Francisco County,May,2020-05-01,2020,May,483100,70400,0.127
5592,San Francisco County,June,2020-06-01,2020,June,498800,71200,0.125
5593,San Francisco County,July,2020-07-01,2020,July,510000,63500,0.111
5594,San Francisco County,August,2020-08-01,2020,August,515800,47800,0.085
5595,San Francisco County,September,2020-09-01,2020,September,517100,47500,0.084
5596,San Francisco city,March,2020-03-01,2020,March,561200,18100,0.031
5597,San Francisco city,April,2020-04-01,2020,April,483900,69800,0.126
5598,San Francisco city,May,2020-05-01,2020,May,483100,70400,0.127
5599,San Francisco city,June,2020-06-01,2020,June,498800,71200,0.125
5600,San Francisco city,July,2020-07-01,2020,July,510000,63500,0.111
5601,San Francisco city,August,2020-08-01,2020,August,515800,47800,0.085
5602,San Francisco city,September,2020-09-01,2020,September,517100,47500,0.084
5603,"San Francisco-Oakland-Hayward, CA MSA",March,2020-03-01,2020,March,2486536,86300,0.034
5604,"San Francisco-Oakland-Hayward, CA MSA",April,2020-04-01,2020,April,2152211,328915,0.133
5605,"San Francisco-Oakland-Hayward, CA MSA",May,2020-05-01,2020,May,2147723,328886,0.133
5606,"San Francisco-Oakland-Hayward, CA MSA",June,2020-06-01,2020,June,2217692,316109,0.125
5607,"San Francisco-Oakland-Hayward, CA MSA",July,2020-07-01,2020,July,2215176,278327,0.112
5608,"San Francisco-Oakland-Hayward, CA MSA",August,2020-08-01,2020,August,2249441,221969,0.09
5609,San Francisco-Redwood City-South San Francisco MD,March,2020-03-01,2020,March,1004300,30900,0.03
5610,San Francisco-Redwood City-South San Francisco MD,April,2020-04-01,2020,April,866000,118800,0.121
5611,San Francisco-Redwood City-South San Francisco MD,May,2020-05-01,2020,May,864500,118400,0.12
5612,San Francisco-Redwood City-South San Francisco MD,June,2020-06-01,2020,June,892700,119000,0.118
5613,San Francisco-Redwood City-South San Francisco MD,July,2020-07-01,2020,July,912900,105000,0.103
5614,San Francisco-Redwood City-South San Francisco MD,August,2020-08-01,2020,August,923300,79500,0.079
5615,San Francisco-Redwood City-South San Francisco MD,September,2020-09-01,2020,September,925600,78800,0.078
5616,"San Francisco-Redwood City-South San Francisco, CA Met Div",March,2020-03-01,2020,March,1007320,29572,0.029
5617,"San Francisco-Redwood City-South San Francisco, CA Met Div",April,2020-04-01,2020,April,873999,121126,0.122
5618,"San Francisco-Redwood City-South San Francisco, CA Met Div",May,2020-05-01,2020,May,872003,121043,0.122
5619,"San Francisco-Redwood City-South San Francisco, CA Met Div",June,2020-06-01,2020,June,901319,117172,0.115
5620,"San Francisco-Redwood City-South San Francisco, CA Met Div",July,2020-07-01,2020,July,911025,101752,0.1
5621,"San Francisco-Redwood City-South San Francisco, CA Met Div",August,2020-08-01,2020,August,924160,80647,0.08
5622,San Gabriel city,March,2020-03-01,2020,March,19900,1200,0.057
