county,Date,Date,Confirmed Covid Patients,Suspected Covid Patinets,Confirmed Covid ICU Patients,ICU suspected COVID Patients,ICU Beds Available
Trinity,June,2020-06-30,0.0,5.0,0.0,0.0,
Trinity,March,2020-03-31,0.0,0.0,0.0,0.0,
Trinity,May,2020-05-31,0.0,3.0,0.0,0.0,
Trinity,October,2020-10-16,0.0,0.0,0.0,0.0,0.0
Trinity,September,2020-09-30,0.0,0.0,0.0,0.0,0.0
Tulare,April,2020-04-30,33.0,26.0,11.0,6.0,30.0
Tulare,August,2020-08-31,114.0,9.0,19.0,2.0,19.0
Tulare,July,2020-07-31,111.0,11.0,22.0,2.0,33.0
Tulare,June,2020-06-30,74.0,27.0,14.0,3.0,25.0
Tulare,March,2020-03-31,6.0,21.0,5.0,6.0,9.0
Tulare,May,2020-05-31,42.0,5.0,13.0,4.0,31.0
Tulare,October,2020-10-16,39.0,9.0,9.0,2.0,35.0
Tulare,September,2020-09-30,60.0,13.0,10.0,1.0,26.0
Tuolumne,April,2020-04-30,0.0,2.0,0.0,1.0,6.0
Tuolumne,August,2020-08-31,6.0,4.0,6.0,3.0,6.0
Tuolumne,July,2020-07-31,5.0,1.0,1.0,1.0,6.0
Tuolumne,June,2020-06-30,1.0,1.0,0.0,1.0,5.0
Tuolumne,March,2020-03-31,1.0,37.0,0.0,0.0,4.0
Tuolumne,May,2020-05-31,0.0,1.0,0.0,1.0,6.0
Tuolumne,October,2020-10-16,1.0,1.0,1.0,0.0,4.0
Tuolumne,September,2020-09-30,2.0,1.0,1.0,1.0,6.0
Ventura,April,2020-04-30,33.0,128.0,11.0,28.0,56.0
Ventura,August,2020-08-31,88.0,57.0,39.0,15.0,52.0
Ventura,July,2020-07-31,105.0,46.0,33.0,12.0,59.0
Ventura,June,2020-06-30,76.0,64.0,26.0,13.0,62.0
Ventura,March,2020-03-31,25.0,90.0,5.0,28.0,15.0
Ventura,May,2020-05-31,36.0,36.0,16.0,12.0,58.0
Ventura,October,2020-10-16,43.0,17.0,20.0,7.0,60.0
Ventura,September,2020-09-30,68.0,35.0,28.0,11.0,63.0
Yolo,April,2020-04-30,6.0,7.0,3.0,6.0,23.0
Yolo,August,2020-08-31,10.0,1.0,9.0,1.0,12.0
Yolo,July,2020-07-31,18.0,8.0,11.0,6.0,13.0
Yolo,June,2020-06-30,6.0,2.0,4.0,1.0,8.0
Yolo,March,2020-03-31,3.0,3.0,2.0,2.0,1.0
Yolo,May,2020-05-31,1.0,3.0,1.0,1.0,14.0
Yolo,October,2020-10-16,6.0,0.0,4.0,0.0,11.0
Yolo,September,2020-09-30,10.0,2.0,7.0,2.0,7.0
Yuba,April,2020-04-30,3.0,25.0,2.0,6.0,16.0
Yuba,August,2020-08-31,30.0,3.0,24.0,0.0,18.0
Yuba,July,2020-07-31,25.0,4.0,8.0,1.0,20.0
Yuba,June,2020-06-30,8.0,1.0,3.0,0.0,19.0
Yuba,March,2020-03-31,3.0,21.0,2.0,4.0,10.0
Yuba,May,2020-05-31,1.0,1.0,0.0,1.0,13.0
Yuba,October,2020-10-16,11.0,1.0,3.0,0.0,16.0
Yuba,September,2020-09-30,23.0,2.0,6.0,1.0,16.0
