county,Date,Date,Confirmed Covid Patients,Suspected Covid Patinets,Confirmed Covid ICU Patients,ICU suspected COVID Patients,ICU Beds Available
Imperial,June,2020-06-30,95.0,11.0,21.0,1.0,10.0
Imperial,March,2020-03-31,19.0,109.0,3.0,4.0,4.0
Imperial,May,2020-05-31,80.0,17.0,23.0,1.0,13.0
Imperial,October,2020-10-16,34.0,2.0,14.0,1.0,10.0
Imperial,September,2020-09-30,30.0,1.0,10.0,0.0,13.0
Inyo,April,2020-04-30,15.0,163.0,1.0,2.0,6.0
Inyo,August,2020-08-31,4.0,2.0,2.0,0.0,4.0
Inyo,July,2020-07-31,2.0,2.0,0.0,1.0,4.0
Inyo,June,2020-06-30,1.0,1.0,0.0,0.0,4.0
Inyo,March,2020-03-31,,83.0,0.0,0.0,6.0
Inyo,May,2020-05-31,1.0,1.0,0.0,0.0,4.0
Inyo,October,2020-10-16,2.0,1.0,1.0,0.0,4.0
Inyo,September,2020-09-30,1.0,1.0,0.0,0.0,4.0
Kern,April,2020-04-30,41.0,91.0,23.0,23.0,63.0
Kern,August,2020-08-31,321.0,24.0,87.0,7.0,72.0
Kern,July,2020-07-31,280.0,33.0,76.0,3.0,112.0
Kern,June,2020-06-30,163.0,34.0,60.0,10.0,90.0
Kern,March,2020-03-31,18.0,123.0,8.0,8.0,51.0
Kern,May,2020-05-31,63.0,21.0,30.0,2.0,96.0
Kern,October,2020-10-16,67.0,4.0,20.0,1.0,73.0
Kern,September,2020-09-30,120.0,17.0,39.0,2.0,69.0
Kings,April,2020-04-30,10.0,9.0,4.0,2.0,8.0
Kings,August,2020-08-31,73.0,3.0,18.0,1.0,13.0
Kings,July,2020-07-31,85.0,3.0,10.0,2.0,7.0
Kings,June,2020-06-30,58.0,2.0,10.0,1.0,6.0
Kings,March,2020-03-31,2.0,12.0,1.0,2.0,4.0
Kings,May,2020-05-31,28.0,6.0,10.0,2.0,7.0
Kings,October,2020-10-16,19.0,2.0,4.0,0.0,16.0
Kings,September,2020-09-30,38.0,2.0,9.0,1.0,15.0
Lake,April,2020-04-30,3.0,8.0,0.0,2.0,6.0
Lake,August,2020-08-31,4.0,2.0,4.0,1.0,8.0
Lake,July,2020-07-31,4.0,3.0,1.0,2.0,4.0
Lake,June,2020-06-30,3.0,3.0,2.0,2.0,4.0
Lake,March,2020-03-31,0.0,4.0,0.0,2.0,3.0
Lake,May,2020-05-31,1.0,4.0,0.0,2.0,5.0
Lake,October,2020-10-16,2.0,4.0,1.0,2.0,6.0
Lake,September,2020-09-30,1.0,2.0,0.0,1.0,5.0
Lassen,April,2020-04-30,0.0,7.0,0.0,0.0,0.0
Lassen,August,2020-08-31,0.0,2.0,0.0,0.0,0.0
Lassen,July,2020-07-31,1.0,3.0,0.0,0.0,0.0
Lassen,June,2020-06-30,0.0,1.0,0.0,0.0,
Lassen,March,2020-03-31,0.0,7.0,0.0,0.0,
Lassen,May,2020-05-31,0.0,1.0,0.0,0.0,
Lassen,October,2020-10-16,0.0,0.0,0.0,0.0,0.0
Lassen,September,2020-09-30,0.0,0.0,0.0,0.0,0.0
Los Angeles,April,2020-04-30,1962.0,1350.0,625.0,220.0,1378.0
Los Angeles,August,2020-08-31,1784.0,602.0,545.0,85.0,977.0
Los Angeles,July,2020-07-31,2232.0,822.0,623.0,108.0,1502.0
Los Angeles,June,2020-06-30,1893.0,695.0,526.0,109.0,1398.0
Los Angeles,March,2020-03-31,713.0,1277.0,315.0,244.0,456.0
Los Angeles,May,2020-05-31,1884.0,639.0,606.0,112.0,1453.0
