,Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
93,Agoura Hills city,01/01/2020,2020,January,11300,500,0.04
94,Alameda city,01/01/2020,2020,January,40100,1200,0.027999999999999997
95,Alamo CDP,01/01/2020,2020,January,6400,100,0.019
96,Albany city,01/01/2020,2020,January,9600,300,0.026000000000000002
97,Alhambra city,01/01/2020,2020,January,45400,1800,0.038
98,Aliso Viejo city,01/01/2020,2020,January,29700,800,0.025
99,Alondra Park CDP,01/01/2020,2020,January,3900,300,0.062
100,Alpaugh CDP,01/01/2020,2020,January,300,100,0.23800000000000002
101,Alpine Village CDP,01/01/2020,2020,January,100,0,0.0
102,Altadena CDP,01/01/2020,2020,January,23400,800,0.033
103,Alta Sierra CDP,01/01/2020,2020,January,3640,70,0.019
104,Alturas city,01/01/2020,2020,January,940,120,0.11
105,Amador City city,01/01/2020,2020,January,70,0,0.053
106,American Canyon city,01/01/2020,2020,January,9700,500,0.046
107,Anaheim city,01/01/2020,2020,January,166500,5200,0.03
108,Anderson city,01/01/2020,2020,January,4000,200,0.049
109,Angels City city,01/01/2020,2020,January,1850,0,0.001
110,Angwin CDP,01/01/2020,2020,January,2000,100,0.032
111,Antioch city,01/01/2020,2020,January,48600,2200,0.043
112,Apple Valley town,01/01/2020,2020,January,28000,1400,0.048
113,Aptos CDP,01/01/2020,2020,January,3200,100,0.021
114,Aptos Hills Larkin Valley CDP,01/01/2020,2020,January,900,100,0.098
115,Arbuckle CDP,01/01/2020,2020,January,1560,490,0.24
116,Arcadia city,01/01/2020,2020,January,29300,1000,0.034
117,Arcata city,01/01/2020,2020,January,8900,600,0.062
118,Arden Arcade CDP,01/01/2020,2020,January,44100,2300,0.05
119,Armona CDP,01/01/2020,2020,January,1300,200,0.122
120,Arnold CDP,01/01/2020,2020,January,1070,60,0.055
121,Aromas CDP (Monterey Co),01/01/2020,2020,January,1500,100,0.07200000000000001
122,Arroyo Grande city,01/01/2020,2020,January,9000,300,0.027000000000000003
123,Artesia city,01/01/2020,2020,January,7800,300,0.036000000000000004
124,Arvin city,01/01/2020,2020,January,8400,700,0.081
125,Ashland CDP,01/01/2020,2020,January,10600,500,0.049
126,Atascadero city,01/01/2020,2020,January,15000,400,0.027999999999999997
127,Atherton town,01/01/2020,2020,January,3200,100,0.024
128,Atwater city,01/01/2020,2020,January,10800,1100,0.096
129,Auberry CDP,01/01/2020,2020,January,1000,100,0.049
130,Auburn city,01/01/2020,2020,January,6700,300,0.036000000000000004
131,August CDP,01/01/2020,2020,January,2900,400,0.131
132,Avalon city,01/01/2020,2020,January,2100,0,0.004
133,Avenal city,01/01/2020,2020,January,3200,600,0.147
134,Avery CDP,01/01/2020,2020,January,280,30,0.092
135,Avocado Heights CDP,01/01/2020,2020,January,7100,400,0.055
136,Azusa city,01/01/2020,2020,January,24600,1100,0.044000000000000004
137,Bakersfield city,01/01/2020,2020,January,170200,10200,0.057
138,Baldwin Park city,01/01/2020,2020,January,33500,1700,0.047
139,Banning city,01/01/2020,2020,January,10700,600,0.051
140,Barstow city,01/01/2020,2020,January,8500,500,0.053
141,Bay Point CDP,01/01/2020,2020,January,11200,700,0.057
142,Beale AFB CDP,01/01/2020,2020,January,200,0,0.10300000000000001
143,Bear Valley CDP,01/01/2020,2020,January,40,0,0.0
144,Bear Valley Springs CDP,01/01/2020,2020,January,1800,100,0.043
145,Beaumont city,01/01/2020,2020,January,22300,800,0.036000000000000004
146,Beckwourth CDP,01/01/2020,2020,January,110,0,0.0
147,Belden CDP,01/01/2020,2020,January,0,0,0.0
148,Bell city,01/01/2020,2020,January,14700,700,0.047
149,Bellflower city,01/01/2020,2020,January,35200,1900,0.051
150,Bell Gardens city,01/01/2020,2020,January,17600,800,0.046
151,Belmont city,01/01/2020,2020,January,16600,400,0.021
152,Benicia city,01/01/2020,2020,January,14400,400,0.03
153,Ben Lomond CDP,01/01/2020,2020,January,3600,100,0.027999999999999997
154,Berkeley city,01/01/2020,2020,January,60800,1900,0.03
155,Bermuda Dunes CDP,01/01/2020,2020,January,3400,100,0.038
156,Bertsch Oceanview CDP,01/01/2020,2020,January,630,120,0.163
157,Bethel Island CDP,01/01/2020,2020,January,800,0,0.024
158,Beverly Hills city,01/01/2020,2020,January,17900,700,0.039
159,Big Bear City CDP,01/01/2020,2020,January,5600,100,0.023
160,Big Bear Lake city,01/01/2020,2020,January,2300,0,0.015
161,Biggs city,01/01/2020,2020,January,900,0,0.032
162,Big Pine CDP,01/01/2020,2020,January,670,40,0.051
163,Big River CDP,01/01/2020,2020,January,400,0,0.061
164,Biola CDP,01/01/2020,2020,January,500,200,0.233
