,Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
1830,San Andreas CDP,02/01/2020,2020,February,1150,20,0.017
1831,San Anselmo town,02/01/2020,2020,February,7200,200,0.033
1832,San Antonio Heights CDP,02/01/2020,2020,February,1700,0,0.009000000000000001
1833,San Ardo CDP,02/01/2020,2020,February,200,0,0.027000000000000003
1834,San Bernardino city,02/01/2020,2020,February,80800,4100,0.048
1835,San Bruno city,02/01/2020,2020,February,26800,600,0.022000000000000002
1836,San Buenaventura (Ventura) city,02/01/2020,2020,February,54600,1700,0.031
1837,San Carlos city,02/01/2020,2020,February,17700,400,0.02
1838,San Clemente city,02/01/2020,2020,February,31100,900,0.027000000000000003
1839,Sand City city,02/01/2020,2020,February,200,0,0.065
1840,San Diego city,02/01/2020,2020,February,701100,22100,0.031
1841,San Dimas city,02/01/2020,2020,February,17600,700,0.04
1842,San Fernando city,02/01/2020,2020,February,11600,500,0.043
1843,San Francisco city,02/01/2020,2020,February,573900,13300,0.023
1844,San Gabriel city,02/01/2020,2020,February,21200,800,0.037000000000000005
1845,Sanger city,02/01/2020,2020,February,10600,1100,0.094
1846,San Jacinto city,02/01/2020,2020,February,18100,1000,0.054000000000000006
1847,San Joaquin city,02/01/2020,2020,February,1400,200,0.13699999999999998
1848,San Jose city,02/01/2020,2020,February,541300,15100,0.027000000000000003
1849,San Juan Bautista city,02/01/2020,2020,February,1000,0,0.035
1850,San Juan Capistrano city,02/01/2020,2020,February,16900,400,0.025
1851,San Leandro city,02/01/2020,2020,February,44900,1400,0.031
1852,San Lorenzo CDP,02/01/2020,2020,February,12300,400,0.031
1853,San Lucas CDP,02/01/2020,2020,February,200,0,0.17300000000000001
1854,San Luis Obispo city,02/01/2020,2020,February,25100,700,0.026000000000000002
1855,San Marcos city,02/01/2020,2020,February,41500,1200,0.028999999999999998
1856,San Marino city,02/01/2020,2020,February,5600,100,0.024
1857,San Martin CDP,02/01/2020,2020,February,3800,100,0.022000000000000002
1858,San Mateo city,02/01/2020,2020,February,64600,1300,0.02
1859,San Miguel CDP,02/01/2020,2020,February,1200,100,0.064
1860,San Pablo city,02/01/2020,2020,February,13400,500,0.036000000000000004
1861,San Rafael city,02/01/2020,2020,February,31700,700,0.023
1862,San Ramon city,02/01/2020,2020,February,38500,1000,0.025
1863,Santa Ana city,02/01/2020,2020,February,153800,4500,0.028999999999999998
1864,Santa Barbara city,02/01/2020,2020,February,48400,1100,0.022000000000000002
1865,Santa Clara city,02/01/2020,2020,February,70300,1700,0.023
1866,Santa Clarita city,02/01/2020,2020,February,110800,5000,0.043
1867,Santa Cruz city,02/01/2020,2020,February,31400,1000,0.028999999999999998
1868,Santa Fe Springs city,02/01/2020,2020,February,8200,200,0.027000000000000003
1869,Santa Maria city,02/01/2020,2020,February,45800,4600,0.092
1870,Santa Monica city,02/01/2020,2020,February,55200,2400,0.042
1871,Santa Paula city,02/01/2020,2020,February,12900,1500,0.102
1872,Santa Rosa city,02/01/2020,2020,February,87600,2600,0.028999999999999998
1873,Santa Ynez CDP,02/01/2020,2020,February,2100,100,0.049
1874,Santee city,02/01/2020,2020,February,28600,900,0.031
1875,Saratoga city,02/01/2020,2020,February,14500,400,0.026000000000000002
1876,Sausalito city,02/01/2020,2020,February,4300,100,0.024
1877,Scotts Valley city,02/01/2020,2020,February,5700,200,0.037000000000000005
1878,Seal Beach city,02/01/2020,2020,February,9700,300,0.028999999999999998
1879,Searles Valley CDP,02/01/2020,2020,February,600,0,0.07200000000000001
1880,Seaside city,02/01/2020,2020,February,16000,400,0.026000000000000002
1881,Sebastopol city,02/01/2020,2020,February,3800,200,0.05
1882,Selma city,02/01/2020,2020,February,10300,700,0.063
1883,Shafter city,02/01/2020,2020,February,6800,1000,0.127
1884,Shandon CDP,02/01/2020,2020,February,600,0,0.035
1885,Shasta Lake city,02/01/2020,2020,February,4100,300,0.065
1886,Shaver Lake CDP,02/01/2020,2020,February,300,0,0.011000000000000001
1887,Shingle Springs CDP,02/01/2020,2020,February,1900,0,0.009000000000000001
1888,Shingletown CDP,02/01/2020,2020,February,700,100,0.07200000000000001
1889,Shoshone CDP,02/01/2020,2020,February,10,0,0.0
1890,Sierra Madre city,02/01/2020,2020,February,5500,300,0.046
1891,Signal Hill city,02/01/2020,2020,February,6300,300,0.042
1892,Simi Valley city,02/01/2020,2020,February,65600,2000,0.03
1893,Solana Beach city,02/01/2020,2020,February,6800,100,0.017
1894,Soledad city,02/01/2020,2020,February,6900,1400,0.16699999999999998
1895,Solvang city,02/01/2020,2020,February,2900,100,0.027000000000000003
1896,Sonoma city,02/01/2020,2020,February,5400,100,0.023
1897,Sonora city,02/01/2020,2020,February,1880,90,0.048
1898,Soquel CDP,02/01/2020,2020,February,5400,300,0.05
1899,Soulsbyville CDP,02/01/2020,2020,February,1080,50,0.046
1900,South Dos Palos CDP,02/01/2020,2020,February,600,200,0.21
1901,South El Monte city,02/01/2020,2020,February,9200,400,0.044000000000000004
1902,South Gate city,02/01/2020,2020,February,41600,2200,0.051
1903,South Lake Tahoe city,02/01/2020,2020,February,12200,500,0.040999999999999995
1904,South Oroville CDP,02/01/2020,2020,February,1100,100,0.053
1905,South Pasadena city,02/01/2020,2020,February,14700,600,0.037000000000000005
1906,South San Francisco city,02/01/2020,2020,February,39300,900,0.022000000000000002
1907,South San Gabriel CDP,02/01/2020,2020,February,3800,200,0.049
1908,South San Jose Hills CDP,02/01/2020,2020,February,9200,600,0.063
1909,South Taft CDP,02/01/2020,2020,February,500,100,0.21
1910,South Whittier CDP,02/01/2020,2020,February,27400,1100,0.039
1911,Spreckels CDP,02/01/2020,2020,February,300,0,0.0
1912,Spring Garden CDP,02/01/2020,2020,February,0,0,0.0
1913,Spring Valley CDP,02/01/2020,2020,February,13900,700,0.045
1914,Springville CDP,02/01/2020,2020,February,300,0,0.055
1915,Squaw Valley CDP,02/01/2020,2020,February,1400,100,0.071
1916,Squirrel Mountain Valley CDP,02/01/2020,2020,February,200,100,0.222
1917,Stallion Springs CDP,02/01/2020,2020,February,900,200,0.147
1918,Stanton city,02/01/2020,2020,February,18000,600,0.031
1919,Stockton city,02/01/2020,2020,February,120500,9800,0.075
1920,Stratford CDP,02/01/2020,2020,February,300,0,0.13
1921,Strathmore CDP,02/01/2020,2020,February,1000,300,0.22399999999999998
1922,Suisun City city,02/01/2020,2020,February,13800,500,0.037000000000000005
1923,Summerland CDP,02/01/2020,2020,February,400,0,0.048
1924,Sunnyside Tahoe City CDP,02/01/2020,2020,February,700,0,0.049
1925,Sunnyvale city,02/01/2020,2020,February,86300,1800,0.02
1926,Sunol CDP,02/01/2020,2020,February,400,0,0.028999999999999998
1927,Susanville city,02/01/2020,2020,February,2910,170,0.055999999999999994
1928,Sutter CDP,02/01/2020,2020,February,1400,100,0.067
1929,Sutter Creek city,02/01/2020,2020,February,1020,20,0.022000000000000002
1930,Taft city,02/01/2020,2020,February,2900,200,0.057999999999999996
1931,Taft Heights CDP,02/01/2020,2020,February,900,100,0.085
1932,Taft Mosswood CDP,02/01/2020,2020,February,300,0,0.069
1933,Tahoe Vista CDP,02/01/2020,2020,February,800,0,0.006
1934,Tamalpais Homestead Valley CDP,02/01/2020,2020,February,6100,200,0.03
1935,Tara Hills CDP,02/01/2020,2020,February,2700,100,0.033
1936,Taylorsville CDP,02/01/2020,2020,February,30,40,0.594
1937,Tecopa CDP,02/01/2020,2020,February,30,10,0.342
1938,Tehachapi city,02/01/2020,2020,February,3600,200,0.061
1939,Tehama city,02/01/2020,2020,February,170,10,0.066
1940,Temecula city,02/01/2020,2020,February,53800,1800,0.032
1941,Temple City city,02/01/2020,2020,February,18000,700,0.037000000000000005
1942,Templeton CDP,02/01/2020,2020,February,4000,100,0.013999999999999999
1943,Terra Bella CDP,02/01/2020,2020,February,1200,500,0.278
1944,Thermalito CDP,02/01/2020,2020,February,2100,200,0.08800000000000001
1945,Thousand Oaks city,02/01/2020,2020,February,63000,1800,0.027999999999999997
1946,Thousand Palms CDP,02/01/2020,2020,February,2900,100,0.027999999999999997
1947,Three Rivers CDP,02/01/2020,2020,February,1100,100,0.07
1948,Tipton CDP,02/01/2020,2020,February,1100,300,0.204
1949,Tobin CDP,02/01/2020,2020,February,0,0,0.0
1950,Tomales CDP,02/01/2020,2020,February,300,0,0.0
1951,Toro Canyon CDP,02/01/2020,2020,February,800,0,0.016
1952,Torrance city,02/01/2020,2020,February,77100,3000,0.037000000000000005
1953,Tracy city,02/01/2020,2020,February,41700,1500,0.035
1954,Tranquillity CDP,02/01/2020,2020,February,300,0,0.0
1955,Traver CDP,02/01/2020,2020,February,300,0,0.061
1956,Trinidad city,02/01/2020,2020,February,100,0,0.028999999999999998
1957,Truckee town,02/01/2020,2020,February,10120,280,0.027000000000000003
1958,Tulare city,02/01/2020,2020,February,25900,1700,0.062
1959,Tuolumne City CDP,02/01/2020,2020,February,580,0,0.0
1960,Tupman CDP,02/01/2020,2020,February,100,0,0.209
1961,Turlock city,02/01/2020,2020,February,32200,1600,0.047
1962,Tustin city,02/01/2020,2020,February,41700,1200,0.027000000000000003
1963,Twain CDP,02/01/2020,2020,February,0,0,0.0
1964,Twain Harte CDP,02/01/2020,2020,February,1090,40,0.034
1965,Twentynine Palms city,02/01/2020,2020,February,6700,300,0.044000000000000004
1966,Twin Lakes CDP,02/01/2020,2020,February,2600,100,0.051
1967,Ukiah city,02/01/2020,2020,February,6780,430,0.059000000000000004
1968,Union City city,02/01/2020,2020,February,35700,1100,0.03
1969,Upland city,02/01/2020,2020,February,38500,1200,0.031
1970,Upper Lake CDP,02/01/2020,2020,February,500,30,0.059000000000000004
1971,Vacaville city,02/01/2020,2020,February,44300,1500,0.032
1972,Valinda CDP,02/01/2020,2020,February,12800,600,0.048
1973,Vallejo city,02/01/2020,2020,February,54100,2200,0.04
1974,Valle Vista CDP,02/01/2020,2020,February,6600,300,0.045
1975,Valley Acres CDP,02/01/2020,2020,February,200,100,0.203
1976,Valley Center CDP,02/01/2020,2020,February,4100,100,0.026000000000000002
1977,Valley Ranch CDP,02/01/2020,2020,February,0,0,0.0
1978,Valley Springs CDP,02/01/2020,2020,February,2010,60,0.027999999999999997
1979,Val Verde CDP,02/01/2020,2020,February,1600,100,0.079
1980,Vandenberg AFB CDP,02/01/2020,2020,February,800,0,0.055
1981,Vandenberg Village CDP,02/01/2020,2020,February,3600,100,0.035
1982,Vernon city,02/01/2020,2020,February,0,0,0.02
1983,Victorville city,02/01/2020,2020,February,43700,2600,0.055999999999999994
1984,View Park Windsor Hills CDP,02/01/2020,2020,February,5400,500,0.08199999999999999
1985,Villa Park city,02/01/2020,2020,February,2400,100,0.03
1986,Vine Hill CDP,02/01/2020,2020,February,1800,0,0.018000000000000002
1987,Vineyard CDP,02/01/2020,2020,February,13100,400,0.032
1988,Visalia city,02/01/2020,2020,February,57700,2900,0.048
1989,Vista city,02/01/2020,2020,February,43700,1600,0.035
1990,Walnut city,02/01/2020,2020,February,15800,600,0.038
1991,Walnut Creek city,02/01/2020,2020,February,33400,1000,0.027999999999999997
1992,Walnut Grove CDP,02/01/2020,2020,February,600,100,0.077
1993,Walnut Park CDP,02/01/2020,2020,February,7600,400,0.047
1994,Wasco city,02/01/2020,2020,February,7800,1400,0.15
1995,Waterford city,02/01/2020,2020,February,3200,300,0.083
1996,Watsonville city,02/01/2020,2020,February,22900,4600,0.166
1997,Weaverville CDP,02/01/2020,2020,February,1060,110,0.095
1998,Weed city,02/01/2020,2020,February,960,120,0.10800000000000001
1999,Weedpatch CDP,02/01/2020,2020,February,900,100,0.099
2000,Weldon CDP,02/01/2020,2020,February,800,100,0.126
2001,West Athens CDP,02/01/2020,2020,February,4300,300,0.061
2002,West Bishop CDP,02/01/2020,2020,February,1280,40,0.027000000000000003
2003,West Carson CDP,02/01/2020,2020,February,11000,400,0.038
2004,West Covina city,02/01/2020,2020,February,51600,2400,0.044000000000000004
2005,West Hollywood city,02/01/2020,2020,February,26500,1600,0.055999999999999994
2006,Westlake Village city,02/01/2020,2020,February,3900,100,0.024
2007,West Menlo Park CDP,02/01/2020,2020,February,2200,100,0.027000000000000003
2008,Westminster city,02/01/2020,2020,February,40700,1300,0.032
2009,West Modesto CDP,02/01/2020,2020,February,1800,300,0.162
2010,Westmont CDP,02/01/2020,2020,February,13100,900,0.065
2011,Westmorland city,02/01/2020,2020,February,800,100,0.147
2012,West Point CDP,02/01/2020,2020,February,160,0,0.0
2013,West Puente Valley CDP,02/01/2020,2020,February,10900,800,0.069
2014,West Sacramento city,02/01/2020,2020,February,24600,1000,0.038
2015,West Whittier Los Nietos CDP,02/01/2020,2020,February,12400,400,0.03
2016,Westwood CDP,02/01/2020,2020,February,590,10,0.017
2017,Wheatland city,02/01/2020,2020,February,1600,100,0.077
2018,Whitehawk CDP,02/01/2020,2020,February,10,0,0.0
2019,Whittier city,02/01/2020,2020,February,42900,1900,0.043
2020,Wildomar city,02/01/2020,2020,February,17100,700,0.038
2021,Wilkerson CDP,02/01/2020,2020,February,240,10,0.044000000000000004
2022,Williams city,02/01/2020,2020,February,2310,350,0.133
2023,Willits city,02/01/2020,2020,February,1830,60,0.034
2024,Willowbrook CDP,02/01/2020,2020,February,9100,700,0.067
2025,Willow Creek CDP,02/01/2020,2020,February,600,0,0.0
2026,Willows city,02/01/2020,2020,February,2390,220,0.085
2027,Wilton CDP,02/01/2020,2020,February,2300,0,0.02
2028,Winchester CDP,02/01/2020,2020,February,1200,100,0.048
2029,Windsor town,02/01/2020,2020,February,13900,400,0.027999999999999997
2030,Winters city,02/01/2020,2020,February,3700,200,0.051
2031,Winton CDP,02/01/2020,2020,February,4200,900,0.172
2032,Wofford Heights CDP,02/01/2020,2020,February,600,100,0.09300000000000001
2033,Woodcrest CDP,02/01/2020,2020,February,8800,200,0.021
2034,Woodlake city,02/01/2020,2020,February,3000,300,0.10300000000000001
2035,Woodland city,02/01/2020,2020,February,29000,2100,0.068
2036,Woodville CDP,02/01/2020,2020,February,700,100,0.165
2037,Wrightwood CDP,02/01/2020,2020,February,1800,100,0.027000000000000003
2038,Yorba Linda city,02/01/2020,2020,February,34200,900,0.026000000000000002
2039,Yosemite Lakes CDP,02/01/2020,2020,February,1900,200,0.081
2040,Yosemite Valley CDP,02/01/2020,2020,February,950,30,0.027999999999999997
2041,Yountville town,02/01/2020,2020,February,1100,0,0.039
2042,Yreka city,02/01/2020,2020,February,2760,270,0.08900000000000001
2043,Yuba City city,02/01/2020,2020,February,29400,2800,0.08800000000000001
2044,Yucaipa city,02/01/2020,2020,February,24500,900,0.034
2045,Yucca Valley town,02/01/2020,2020,February,8300,500,0.053
2046,California,03/01/2020,2020,March,18085700,1106400,0.057999999999999996
2047,California,03/01/2020,2020,March,18115800,1052200,0.055
2048,Alameda County,03/01/2020,2020,March,802700,32700,0.039
2049,Alpine County,03/01/2020,2020,March,490,40,0.07400000000000001
2050,Amador County,03/01/2020,2020,March,13980,810,0.055
2051,Butte County,03/01/2020,2020,March,92300,6800,0.068
2052,Calaveras County,03/01/2020,2020,March,20320,1180,0.055
2053,Colusa County,03/01/2020,2020,March,8780,2700,0.235
2054,Contra Costa County,03/01/2020,2020,March,532800,22700,0.040999999999999995
2055,Del Norte County,03/01/2020,2020,March,8740,740,0.078
2056,El Dorado County,03/01/2020,2020,March,87400,4300,0.047
2057,Fresno County,03/01/2020,2020,March,406900,50200,0.11
2058,Glenn County,03/01/2020,2020,March,11980,1180,0.09
2059,Humboldt County,03/01/2020,2020,March,58700,3100,0.05
2060,Imperial County,03/01/2020,2020,March,57900,15200,0.20800000000000002
2061,Inyo County,03/01/2020,2020,March,8220,420,0.049
2062,Kern County,03/01/2020,2020,March,344200,47500,0.121
2063,Kings County,03/01/2020,2020,March,51800,7300,0.124
2064,Lake County,03/01/2020,2020,March,26920,2110,0.073
2065,Lassen County,03/01/2020,2020,March,8610,710,0.076
2066,Los Angeles County,03/01/2020,2020,March,4669100,327500,0.066
2067,Los Angeles County,03/01/2020,2020,March,4646200,336200,0.067
2068,Madera County,03/01/2020,2020,March,56600,6700,0.107
2069,Marin County,03/01/2020,2020,March,133400,4300,0.031
2070,Mariposa County,03/01/2020,2020,March,6650,570,0.079
2071,Mendocino County,03/01/2020,2020,March,36340,2300,0.06
2072,Merced County,03/01/2020,2020,March,101300,15300,0.132
2073,Modoc County,03/01/2020,2020,March,2760,370,0.11699999999999999
2074,Mono County,03/01/2020,2020,March,8360,430,0.049
2075,Monterey County,03/01/2020,2020,March,192400,26700,0.122
2076,Napa County,03/01/2020,2020,March,70300,3000,0.040999999999999995
2077,Nevada County,03/01/2020,2020,March,45250,2270,0.048
2078,Orange County,03/01/2020,2020,March,1528600,59000,0.037000000000000005
2079,Placer County,03/01/2020,2020,March,179500,7700,0.040999999999999995
2080,Plumas County,03/01/2020,2020,March,6490,1020,0.136
2081,Riverside County,03/01/2020,2020,March,1039700,59100,0.054000000000000006
2082,Sacramento County,03/01/2020,2020,March,676800,34300,0.048
2083,San Benito County,03/01/2020,2020,March,29200,2500,0.079
2084,San Bernardino County,03/01/2020,2020,March,915900,48200,0.05
2085,San Diego County,03/01/2020,2020,March,1509100,66100,0.042
2086,San Francisco County,03/01/2020,2020,March,561200,18100,0.031
2087,San Joaquin County,03/01/2020,2020,March,301100,27600,0.084
2088,San Luis Obispo County,03/01/2020,2020,March,136300,5400,0.038
2089,San Mateo County,03/01/2020,2020,March,443100,12800,0.027999999999999997
2090,Santa Barbara County,03/01/2020,2020,March,201800,12300,0.057
2091,Santa Clara County,03/01/2020,2020,March,1007600,35200,0.034
2092,Santa Cruz County,03/01/2020,2020,March,130000,11400,0.081
2093,Shasta County,03/01/2020,2020,March,68400,5100,0.069
2094,Sierra County,03/01/2020,2020,March,1190,110,0.086
2095,Siskiyou County,03/01/2020,2020,March,14860,1760,0.106
2096,Solano County,03/01/2020,2020,March,198400,10600,0.051
2097,Sonoma County,03/01/2020,2020,March,247600,9500,0.037000000000000005
2098,Stanislaus County,03/01/2020,2020,March,224900,20700,0.084
2099,Sutter County,03/01/2020,2020,March,42100,5400,0.113
2100,Tehama County,03/01/2020,2020,March,23060,1990,0.079
2101,Trinity County,03/01/2020,2020,March,4090,410,0.092
2102,Tulare County,03/01/2020,2020,March,176900,30400,0.147
2103,Tuolumne County,03/01/2020,2020,March,19590,1350,0.065
2104,Ventura County,03/01/2020,2020,March,402100,20000,0.047
2105,Yolo County,03/01/2020,2020,March,102400,6500,0.06
2106,Yuba County,03/01/2020,2020,March,28500,2700,0.086
2107,Anaheim-Santa Ana-Irvine MD,03/01/2020,2020,March,1528600,59000,0.037000000000000005
2108,Bakersfield MSA,03/01/2020,2020,March,344200,47500,0.121
2109,Chico MSA,03/01/2020,2020,March,92300,6800,0.068
2110,El Centro MSA,03/01/2020,2020,March,57900,15200,0.20800000000000002
2111,Fresno MSA,03/01/2020,2020,March,406900,50200,0.11
2112,Hanford-Corcoran MSA,03/01/2020,2020,March,51800,7300,0.124
2113,Los Angeles-Long Beach-Glendale MD,03/01/2020,2020,March,4669100,327500,0.066
2114,Los Angeles-Long Beach-Glendale MD,03/01/2020,2020,March,4646200,336200,0.067
2115,Madera MSA,03/01/2020,2020,March,56600,6700,0.107
2116,Merced MSA,03/01/2020,2020,March,101300,15300,0.132
2117,Modesto MSA,03/01/2020,2020,March,224900,20700,0.084
2118,Napa MSA,03/01/2020,2020,March,70300,3000,0.040999999999999995
2119,Oakland-Hayward-Berkeley MD,03/01/2020,2020,March,1335600,55400,0.04
2120,Oxnard-Thousand Oaks-Ventura MSA,03/01/2020,2020,March,402100,20000,0.047
2121,Redding MSA,03/01/2020,2020,March,68400,5100,0.069
2122,Riverside-San Bernardino-Ontario MSA,03/01/2020,2020,March,1955600,107300,0.052000000000000005
2123,Sacramento--Roseville--Arden-Arcade MSA,03/01/2020,2020,March,1046100,52800,0.048
2124,Salinas MSA,03/01/2020,2020,March,192400,26700,0.122
2125,San Diego-Carlsbad MSA,03/01/2020,2020,March,1509100,66100,0.042
2126,San Francisco-Redwood City-South San Francisco MD,03/01/2020,2020,March,1004300,30900,0.03
2127,San Jose-Sunnyvale-Santa Clara MSA,03/01/2020,2020,March,1036700,37700,0.035
2128,San Luis Obispo-Paso Robles-Arroyo Grande MSA,03/01/2020,2020,March,136300,5400,0.038
2129,San Rafael MD,03/01/2020,2020,March,133400,4300,0.031
2130,Santa Cruz-Watsonville MSA,03/01/2020,2020,March,130000,11400,0.081
2131,Santa Maria-Santa Barbara MSA,03/01/2020,2020,March,201800,12300,0.057
2132,Santa Rosa MSA,03/01/2020,2020,March,247600,9500,0.037000000000000005
2133,Stockton-Lodi MSA,03/01/2020,2020,March,301100,27600,0.084
2134,Vallejo-Fairfield MSA,03/01/2020,2020,March,198400,10600,0.051
2135,Visalia-Porterville MSA,03/01/2020,2020,March,176900,30400,0.147
2136,Yuba City MSA,03/01/2020,2020,March,70600,8000,0.102
2137,Acton CDP,03/01/2020,2020,March,3400,200,0.049
2138,Adelanto city,03/01/2020,2020,March,8800,900,0.091
2139,Agoura Hills city,03/01/2020,2020,March,10600,600,0.055999999999999994
2140,Alameda city,03/01/2020,2020,March,39400,1500,0.036000000000000004
2141,Alamo CDP,03/01/2020,2020,March,6300,200,0.024
2142,Albany city,03/01/2020,2020,March,9400,300,0.033
2143,Alhambra city,03/01/2020,2020,March,42800,2600,0.057
2144,Aliso Viejo city,03/01/2020,2020,March,28900,1000,0.034
2145,Alondra Park CDP,03/01/2020,2020,March,3700,400,0.091
2146,Alpaugh CDP,03/01/2020,2020,March,300,100,0.305
2147,Alpine Village CDP,03/01/2020,2020,March,80,0,0.0
2148,Altadena CDP,03/01/2020,2020,March,22100,1100,0.049
2149,Alta Sierra CDP,03/01/2020,2020,March,3480,90,0.024
2150,Alturas city,03/01/2020,2020,March,940,140,0.131
2151,Amador City city,03/01/2020,2020,March,70,10,0.067
2152,American Canyon city,03/01/2020,2020,March,9700,500,0.054000000000000006
2153,Anaheim city,03/01/2020,2020,March,161600,6700,0.04
2154,Anderson city,03/01/2020,2020,March,3900,300,0.063
2155,Angels City city,03/01/2020,2020,March,1830,0,0.002
2156,Angwin CDP,03/01/2020,2020,March,2000,100,0.037000000000000005
2157,Antioch city,03/01/2020,2020,March,47800,2700,0.053
2158,Apple Valley town,03/01/2020,2020,March,27500,1700,0.057999999999999996
2159,Aptos CDP,03/01/2020,2020,March,3200,100,0.027999999999999997
2160,Aptos Hills Larkin Valley CDP,03/01/2020,2020,March,900,100,0.127
2161,Arbuckle CDP,03/01/2020,2020,March,1560,640,0.29100000000000004
2162,Arcadia city,03/01/2020,2020,March,27600,1400,0.049
2163,Arcata city,03/01/2020,2020,March,8800,700,0.076
2164,Arden Arcade CDP,03/01/2020,2020,March,43500,2900,0.062
2165,Armona CDP,03/01/2020,2020,March,1200,200,0.159
2166,Arnold CDP,03/01/2020,2020,March,1060,80,0.07
2167,Aromas CDP (Monterey Co),03/01/2020,2020,March,1400,100,0.092
2168,Arroyo Grande city,03/01/2020,2020,March,9000,300,0.034
2169,Artesia city,03/01/2020,2020,March,7400,400,0.054000000000000006
2170,Arvin city,03/01/2020,2020,March,8000,1000,0.115
2171,Ashland CDP,03/01/2020,2020,March,10400,700,0.062
2172,Atascadero city,03/01/2020,2020,March,15000,500,0.035
2173,Atherton town,03/01/2020,2020,March,3100,100,0.031
2174,Atwater city,03/01/2020,2020,March,10500,1400,0.11900000000000001
2175,Auberry CDP,03/01/2020,2020,March,1000,100,0.066
2176,Auburn city,03/01/2020,2020,March,6600,300,0.045
2177,August CDP,03/01/2020,2020,March,2900,600,0.161
2178,Avalon city,03/01/2020,2020,March,2000,0,0.006
2179,Avenal city,03/01/2020,2020,March,3200,700,0.191
2180,Avery CDP,03/01/2020,2020,March,270,40,0.11699999999999999
2181,Avocado Heights CDP,03/01/2020,2020,March,6700,600,0.08
2182,Azusa city,03/01/2020,2020,March,23200,1600,0.064
2183,Bakersfield city,03/01/2020,2020,March,161700,12500,0.07200000000000001
2184,Baldwin Park city,03/01/2020,2020,March,31600,2400,0.07
2185,Banning city,03/01/2020,2020,March,10500,800,0.067
2186,Barstow city,03/01/2020,2020,March,8300,600,0.068
2187,Bay Point CDP,03/01/2020,2020,March,11000,900,0.07200000000000001
2188,Beale AFB CDP,03/01/2020,2020,March,200,0,0.122
2189,Bear Valley CDP,03/01/2020,2020,March,30,0,0.0
2190,Bear Valley Springs CDP,03/01/2020,2020,March,1700,100,0.062
2191,Beaumont city,03/01/2020,2020,March,21900,1100,0.047
2192,Beckwourth CDP,03/01/2020,2020,March,100,0,0.0
2193,Belden CDP,03/01/2020,2020,March,0,0,0.0
2194,Bell city,03/01/2020,2020,March,13800,1000,0.067
2195,Bellflower city,03/01/2020,2020,March,33200,2600,0.07200000000000001
2196,Bell Gardens city,03/01/2020,2020,March,16600,1200,0.068
2197,Belmont city,03/01/2020,2020,March,16200,500,0.027000000000000003
2198,Benicia city,03/01/2020,2020,March,14300,600,0.038
2199,Ben Lomond CDP,03/01/2020,2020,March,3600,100,0.038
2200,Berkeley city,03/01/2020,2020,March,59800,2200,0.036000000000000004
2201,Bermuda Dunes CDP,03/01/2020,2020,March,3300,200,0.048
2202,Bertsch Oceanview CDP,03/01/2020,2020,March,610,140,0.19
2203,Bethel Island CDP,03/01/2020,2020,March,800,0,0.031
2204,Beverly Hills city,03/01/2020,2020,March,16900,1000,0.054000000000000006
2205,Big Bear City CDP,03/01/2020,2020,March,5500,200,0.03
2206,Big Bear Lake city,03/01/2020,2020,March,2300,0,0.019
2207,Biggs city,03/01/2020,2020,March,900,0,0.04
2208,Big Pine CDP,03/01/2020,2020,March,660,50,0.065
2209,Big River CDP,03/01/2020,2020,March,400,0,0.077
2210,Biola CDP,03/01/2020,2020,March,500,200,0.299
2211,Bishop city,03/01/2020,2020,March,1540,70,0.042
2212,Bloomington CDP,03/01/2020,2020,March,9600,600,0.055999999999999994
2213,Blue Lake city,03/01/2020,2020,March,500,0,0.049
2214,Bluewater CDP,03/01/2020,2020,March,0,0,0.091
2215,Blythe city,03/01/2020,2020,March,5400,300,0.055999999999999994
2216,Bodega Bay CDP,03/01/2020,2020,March,500,0,0.027000000000000003
2217,Bodfish CDP,03/01/2020,2020,March,300,100,0.13
2218,Bonadelle Ranchos Madera Ranchos CDP,03/01/2020,2020,March,3900,300,0.075
2219,Bonita CDP,03/01/2020,2020,March,5700,400,0.064
2220,Bootjack CDP,03/01/2020,2020,March,280,40,0.11800000000000001
2221,Boron CDP,03/01/2020,2020,March,800,100,0.079
2222,Boronda CDP,03/01/2020,2020,March,300,300,0.494
2223,Bostonia CDP,03/01/2020,2020,March,7400,600,0.08
2224,Boulder Creek CDP,03/01/2020,2020,March,2400,300,0.099
2225,Boyes Hot Springs CDP,03/01/2020,2020,March,4000,100,0.024
2226,Bradbury city,03/01/2020,2020,March,400,0,0.02
2227,Bradley CDP,03/01/2020,2020,March,100,0,0.0
2228,Brawley city,03/01/2020,2020,March,8600,1900,0.18
2229,Brea city,03/01/2020,2020,March,21900,800,0.036000000000000004
2230,Brentwood city,03/01/2020,2020,March,27900,1300,0.045
2231,Bret Harte CDP,03/01/2020,2020,March,1700,300,0.16899999999999998
2232,Brisbane city,03/01/2020,2020,March,2800,100,0.028999999999999998
2233,Broadmoor CDP,03/01/2020,2020,March,3400,200,0.055999999999999994
2234,Bucks Lake CDP,03/01/2020,2020,March,10,0,0.0
2235,Buellton city,03/01/2020,2020,March,2600,100,0.024
2236,Buena Park city,03/01/2020,2020,March,37900,1700,0.043
2237,Burbank city,03/01/2020,2020,March,53800,4300,0.07400000000000001
2238,Burlingame city,03/01/2020,2020,March,17900,500,0.027000000000000003
