4,Alameda,395.5882352941176,305.3529411764706
4,Butte,86.05882352941177,86.05882352941177
4,Calaveras,48.53333333333333,22.0
4,Contra Costa,379.0,165.625
4,Fresno,305.0,250.0
4,Humboldt,48.0,15.733333333333333
4,Lassen,13.0,13.0
4,Los Angeles,3127.529411764706,970.9411764705883
4,Madera,25.571428571428573,25.571428571428573
4,Marin,123.17647058823529,79.88235294117646
4,Mariposa,44.0,13.090909090909092
4,Mendocino,141.41176470588235,100.6470588235294
4,Merced,91.42857142857143,39.285714285714285
4,Napa,103.53333333333333,49.666666666666664
4,Nevada,50.0,16.0
4,Orange,300.8666666666667,66.6
4,Placer,39.470588235294116,21.88235294117647
4,Riverside,391.88235294117646,293.88235294117646
4,Sacramento,299.47058823529414,89.52941176470588
4,San Benito,67.0,46.42857142857143
4,San Bernardino,50.0,37.0
4,San Diego,2029.0,409.0
4,San Francisco,1401.9411764705883,775.0588235294117
4,San Mateo,118.17647058823529,95.94117647058823
4,Santa Barbara,98.875,46.75
4,Santa Clara,562.1176470588235,221.05882352941177
4,Santa Cruz,29.11764705882353,20.764705882352942
4,Shasta,20.0,11.0
4,Sonoma,45.0,45.0
4,Stanislaus,121.66666666666667,46.22222222222222
4,Sutter,16.352941176470587,16.352941176470587
4,Ventura,393.29411764705884,272.7647058823529
4,Yolo,234.23529411764707,200.64705882352942
4,Yuba,32.705882352941174,17.647058823529413
5,Alameda,503.9655172413793,369.6896551724138
5,Butte,111.51724137931035,111.51724137931035
5,Calaveras,73.0,24.310344827586206
5,Contra Costa,527.2068965517242,296.58620689655174
5,Del Norte,20.0,11.0
5,El Dorado,26.0,14.294117647058824
5,Fresno,305.0,250.0
5,Humboldt,68.82758620689656,43.55172413793103
5,Imperial,132.0,132.0
5,Kings,41.0,35.470588235294116
5,Lassen,13.0,13.0
5,Los Angeles,3940.344827586207,2266.0344827586205
5,Madera,20.586206896551722,19.862068965517242
5,Marin,183.10344827586206,106.65517241379311
5,Mariposa,44.0,14.178571428571429
5,Mendocino,183.51724137931035,144.06896551724137
5,Merced,112.0,71.13793103448276
5,Monterey,142.0,54.08695652173913
5,Napa,97.0,52.03448275862069
5,Nevada,50.0,14.0
5,Orange,629.5862068965517,263.7931034482759
5,Placer,73.0,34.275862068965516
5,Plumas,14.0,14.0
5,Riverside,294.0689655172414,294.0689655172414
5,Sacramento,406.7586206896552,296.41379310344826
5,San Benito,67.0,49.172413793103445
5,San Bernardino,50.0,37.0
5,San Diego,1888.896551724138,358.0344827586207
5,San Francisco,2369.9310344827586,1000.6896551724138
5,San Joaquin,76.0,41.36363636363637
5,San Mateo,156.58620689655172,154.68965517241378
5,Santa Barbara,127.27586206896552,104.82758620689656
5,Santa Clara,686.2068965517242,367.44827586206895
5,Santa Cruz,93.34482758620689,65.03448275862068
5,Shasta,26.93103448275862,20.17241379310345
5,Solano,236.1818181818182,29.045454545454547
5,Sonoma,127.34482758620689,69.17241379310344
5,Stanislaus,121.06896551724138,88.93103448275862
5,Sutter,18.96551724137931,18.96551724137931
5,Tulare,90.2,28.84
5,Ventura,388.0,315.48275862068965
5,Yolo,245.72413793103448,226.51724137931035
5,Yuba,29.137931034482758,19.482758620689655
6,Alameda,624.9545454545455,432.3181818181818
6,Butte,123.45454545454545,123.45454545454545
6,Calaveras,67.13636363636364,27.636363636363637
6,Contra Costa,567.1363636363636,436.04545454545456
6,Del Norte,23.5,21.727272727272727
6,El Dorado,38.72727272727273,25.545454545454547
6,Fresno,305.0,250.0
6,Humboldt,74.0,48.68181818181818
6,Imperial,126.27272727272727,108.54545454545455
6,Kern,21.666666666666668,21.666666666666668
6,Kings,42.0,41.72727272727273
6,Los Angeles,4315.863636363636,3432.2272727272725
6,Madera,17.0,17.0
6,Marin,197.6818181818182,123.5909090909091
6,Mendocino,176.63636363636363,137.54545454545453
6,Merced,112.0,74.0
6,Monterey,134.36363636363637,100.72727272727273
6,Napa,95.0,47.90909090909091
6,Orange,666.0,500.1363636363636
6,Placer,73.0,43.68181818181818
6,Plumas,14.0,14.0
6,Riverside,367.04545454545456,367.04545454545456
6,Sacramento,492.54545454545456,434.27272727272725
6,San Benito,92.9090909090909,76.36363636363636
6,San Bernardino,50.0,37.0
6,San Diego,1614.0,241.6818181818182
6,San Francisco,2357.318181818182,1382.6818181818182
6,San Joaquin,76.0,62.27272727272727
6,San Mateo,164.54545454545453,164.54545454545453
6,Santa Barbara,126.9090909090909,118.5909090909091
6,Santa Clara,671.7272727272727,455.40909090909093
6,Santa Cruz,143.36363636363637,124.31818181818181
6,Shasta,35.54545454545455,28.636363636363637
6,Solano,211.22727272727272,118.36363636363636
6,Sonoma,158.36363636363637,64.27272727272727
6,Stanislaus,128.04545454545453,93.45454545454545
6,Sutter,20.136363636363637,20.136363636363637
6,Tulare,113.0,70.04545454545455
6,Tuolumne,50.0,34.0
6,Ventura,388.0,295.04545454545456
6,Yolo,229.8181818181818,177.22727272727272
6,Yuba,19.545454545454547,12.590909090909092
7,Alameda,664.4782608695652,501.04347826086956
7,Butte,128.7391304347826,128.7391304347826
7,Calaveras,30.695652173913043,21.304347826086957
7,Contra Costa,566.0,455.4347826086956
7,Del Norte,28.043478260869566,28.043478260869566
7,El Dorado,46.0,38.30434782608695
7,Fresno,318.2608695652174,271.7391304347826
7,Humboldt,74.0,52.0
7,Imperial,126.0,120.6086956521739
7,Kern,23.869565217391305,23.869565217391305
7,Kings,43.52173913043478,42.869565217391305
7,Los Angeles,4377.95652173913,3580.217391304348
7,Madera,17.0,17.0
