Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
Alta Sierra CDP,01/01/2020,2020,January,3640,70,0.019
Alturas city,01/01/2020,2020,January,940,120,0.11
Amador City city,01/01/2020,2020,January,70,0,0.053
American Canyon city,01/01/2020,2020,January,9700,500,0.046
Anaheim city,01/01/2020,2020,January,166500,5200,0.03
Anderson city,01/01/2020,2020,January,4000,200,0.049
Angels City city,01/01/2020,2020,January,1850,0,0.001
Angwin CDP,01/01/2020,2020,January,2000,100,0.032
Antioch city,01/01/2020,2020,January,48600,2200,0.043
Apple Valley town,01/01/2020,2020,January,28000,1400,0.048
Aptos CDP,01/01/2020,2020,January,3200,100,0.021
Aptos Hills Larkin Valley CDP,01/01/2020,2020,January,900,100,0.098
Arbuckle CDP,01/01/2020,2020,January,1560,490,0.24
Arcadia city,01/01/2020,2020,January,29300,1000,0.034
Arcata city,01/01/2020,2020,January,8900,600,0.062
Arden Arcade CDP,01/01/2020,2020,January,44100,2300,0.05
Armona CDP,01/01/2020,2020,January,1300,200,0.122
Arnold CDP,01/01/2020,2020,January,1070,60,0.055
Aromas CDP (Monterey Co),01/01/2020,2020,January,1500,100,0.072
Arroyo Grande city,01/01/2020,2020,January,9000,300,0.027
Artesia city,01/01/2020,2020,January,7800,300,0.036
Arvin city,01/01/2020,2020,January,8400,700,0.081
Ashland CDP,01/01/2020,2020,January,10600,500,0.049
Atascadero city,01/01/2020,2020,January,15000,400,0.028
Atherton town,01/01/2020,2020,January,3200,100,0.024
Atwater city,01/01/2020,2020,January,10800,1100,0.096
Auberry CDP,01/01/2020,2020,January,1000,100,0.049
Auburn city,01/01/2020,2020,January,6700,300,0.036
August CDP,01/01/2020,2020,January,2900,400,0.131
Avalon city,01/01/2020,2020,January,2100,0,0.004
Avenal city,01/01/2020,2020,January,3200,600,0.147
Avery CDP,01/01/2020,2020,January,280,30,0.092
Avocado Heights CDP,01/01/2020,2020,January,7100,400,0.055
Azusa city,01/01/2020,2020,January,24600,1100,0.044
Bakersfield city,01/01/2020,2020,January,170200,10200,0.057
Baldwin Park city,01/01/2020,2020,January,33500,1700,0.047
Banning city,01/01/2020,2020,January,10700,600,0.051
Barstow city,01/01/2020,2020,January,8500,500,0.053
Bay Point CDP,01/01/2020,2020,January,11200,700,0.057
Beale AFB CDP,01/01/2020,2020,January,200,0,0.103
Bear Valley CDP,01/01/2020,2020,January,40,0,0
Bear Valley Springs CDP,01/01/2020,2020,January,1800,100,0.043
Beaumont city,01/01/2020,2020,January,22300,800,0.036
Beckwourth CDP,01/01/2020,2020,January,110,0,0
Belden CDP,01/01/2020,2020,January,0,0,0
Bell city,01/01/2020,2020,January,14700,700,0.047
Bellflower city,01/01/2020,2020,January,35200,1900,0.051
Bell Gardens city,01/01/2020,2020,January,17600,800,0.046
Belmont city,01/01/2020,2020,January,16600,400,0.021
Benicia city,01/01/2020,2020,January,14400,400,0.03
Ben Lomond CDP,01/01/2020,2020,January,3600,100,0.028
Berkeley city,01/01/2020,2020,January,60800,1900,0.03
Bermuda Dunes CDP,01/01/2020,2020,January,3400,100,0.038
Bertsch Oceanview CDP,01/01/2020,2020,January,630,120,0.163
Bethel Island CDP,01/01/2020,2020,January,800,0,0.024
Beverly Hills city,01/01/2020,2020,January,17900,700,0.039
Big Bear City CDP,01/01/2020,2020,January,5600,100,0.023
Big Bear Lake city,01/01/2020,2020,January,2300,0,0.015
Biggs city,01/01/2020,2020,January,900,0,0.032
Big Pine CDP,01/01/2020,2020,January,670,40,0.051
Big River CDP,01/01/2020,2020,January,400,0,0.061
Biola CDP,01/01/2020,2020,January,500,200,0.233
Bishop city,01/01/2020,2020,January,1570,50,0.033
Bloomington CDP,01/01/2020,2020,January,9800,400,0.044
Blue Lake city,01/01/2020,2020,January,500,0,0.04
Bluewater CDP,01/01/2020,2020,January,0,0,0.063
Blythe city,01/01/2020,2020,January,5500,300,0.044
Bodega Bay CDP,01/01/2020,2020,January,500,0,0.02
Bodfish CDP,01/01/2020,2020,January,400,0,0.093
Bonadelle Ranchos Madera Ranchos CDP,01/01/2020,2020,January,4000,200,0.056
Bonita CDP,01/01/2020,2020,January,5800,300,0.051
Bootjack CDP,01/01/2020,2020,January,280,30,0.094
Boron CDP,01/01/2020,2020,January,800,0,0.055
Boronda CDP,01/01/2020,2020,January,300,300,0.43
Bostonia CDP,01/01/2020,2020,January,7600,500,0.064
Boulder Creek CDP,01/01/2020,2020,January,2400,200,0.076
Boyes Hot Springs CDP,01/01/2020,2020,January,4000,100,0.019
Bradbury city,01/01/2020,2020,January,500,0,0.015
Bradley CDP,01/01/2020,2020,January,100,0,0
Brawley city,01/01/2020,2020,January,8800,1600,0.155
Brea city,01/01/2020,2020,January,22600,700,0.028
Brentwood city,01/01/2020,2020,January,28400,1100,0.037
Bret Harte CDP,01/01/2020,2020,January,1700,300,0.135
Brisbane city,01/01/2020,2020,January,2900,100,0.022
Broadmoor CDP,01/01/2020,2020,January,3400,200,0.043
Bucks Lake CDP,01/01/2020,2020,January,10,0,0
Buellton city,01/01/2020,2020,January,2600,100,0.02
Buena Park city,01/01/2020,2020,January,39100,1300,0.033
Burbank city,01/01/2020,2020,January,57100,3100,0.051
Burlingame city,01/01/2020,2020,January,18200,400,0.021
Burney CDP,01/01/2020,2020,January,1200,100,0.056
Buttonwillow CDP,01/01/2020,2020,January,500,100,0.09
Byron CDP,01/01/2020,2020,January,600,0,0.061
Bystrom CDP,01/01/2020,2020,January,1300,100,0.069
Cabazon CDP,01/01/2020,2020,January,1300,0,0.035
Calabasas city,01/01/2020,2020,January,12100,300,0.027
Calexico city,01/01/2020,2020,January,12900,5600,0.301
California City city,01/01/2020,2020,January,3900,800,0.171
Calimesa city,01/01/2020,2020,January,3400,200,0.042
Calipatria city,01/01/2020,2020,January,900,300,0.225
Calistoga city,01/01/2020,2020,January,2500,100,0.047
Calwa CDP,01/01/2020,2020,January,800,100,0.148
Camarillo city,01/01/2020,2020,January,33100,1000,0.029
Cambria CDP,01/01/2020,2020,January,2600,100,0.041
Cameron Park CDP,01/01/2020,2020,January,9500,300,0.034
Campbell city,01/01/2020,2020,January,26200,600,0.023
Cantua Creek CDP,01/01/2020,2020,January,100,0,0.075
Canyondam CDP,01/01/2020,2020,January,10,30,0.738
Canyon Lake city,01/01/2020,2020,January,5300,100,0.021
Capitola city,01/01/2020,2020,January,5400,100,0.018
Carlsbad city,01/01/2020,2020,January,53800,1700,0.031
Carmel by the Sea city,01/01/2020,2020,January,1500,0,0.003
Carmel Valley Village CDP,01/01/2020,2020,January,2200,400,0.144
Carmichael CDP,01/01/2020,2020,January,29700,1200,0.039
Carpinteria city,01/01/2020,2020,January,6800,300,0.039
Carson city,01/01/2020,2020,January,44600,2300,0.049
Cartago CDP,01/01/2020,2020,January,0,0,0
Caruthers CDP,01/01/2020,2020,January,1100,100,0.079
Casa Conejo CDP,01/01/2020,2020,January,1600,100,0.062
Casa de Oro Mount Helix CDP,01/01/2020,2020,January,9500,300,0.031
Castro Valley CDP,01/01/2020,2020,January,30800,900,0.028
Castroville CDP,01/01/2020,2020,January,2800,600,0.176
Cathedral City city,01/01/2020,2020,January,25400,900,0.034
Cayucos CDP,01/01/2020,2020,January,1300,0,0.031
Ceres city,01/01/2020,2020,January,19900,1600,0.076
Cerritos city,01/01/2020,2020,January,24900,1000,0.037
Challenge Brownsville CDP,01/01/2020,2020,January,300,0,0
Channel Islands Beach CDP,01/01/2020,2020,January,1500,200,0.109
Charter Oak CDP,01/01/2020,2020,January,4800,300,0.054
Cherryland CDP,01/01/2020,2020,January,7000,400,0.056
Cherry Valley CDP,01/01/2020,2020,January,3300,100,0.025
Chester CDP,01/01/2020,2020,January,850,80,0.089
Chico city,01/01/2020,2020,January,44700,1900,0.041
Chilcoot Vinton CDP,01/01/2020,2020,January,0,20,1
China Lake Acres CDP,01/01/2020,2020,January,600,0,0.072
Chinese Camp CDP,01/01/2020,2020,January,30,0,0
Chino city,01/01/2020,2020,January,42200,1500,0.034
Chino Hills city,01/01/2020,2020,January,44600,1200,0.026
Chowchilla city,01/01/2020,2020,January,4200,300,0.071
Chualar CDP,01/01/2020,2020,January,600,100,0.107
Chula Vista city,01/01/2020,2020,January,119300,4700,0.038
Citrus CDP,01/01/2020,2020,January,5300,200,0.031
Citrus Heights city,01/01/2020,2020,January,42200,1600,0.038
Claremont city,01/01/2020,2020,January,16800,700,0.041
Clayton city,01/01/2020,2020,January,5800,100,0.015
Clearlake city,01/01/2020,2020,January,5460,700,0.114
Clearlake Oaks CDP,01/01/2020,2020,January,730,70,0.084
Clio CDP,01/01/2020,2020,January,40,0,0
Cloverdale city,01/01/2020,2020,January,4300,100,0.016
Clovis city,01/01/2020,2020,January,52400,2000,0.036
Clyde CDP,01/01/2020,2020,January,400,0,0.025
Coachella city,01/01/2020,2020,January,18100,1900,0.097
Coalinga city,01/01/2020,2020,January,5900,600,0.086
Cobb CDP,01/01/2020,2020,January,490,20,0.041
Colfax city,01/01/2020,2020,January,900,100,0.051
Colton city,01/01/2020,2020,January,23800,1000,0.04
Columbia CDP,01/01/2020,2020,January,700,90,0.114
Colusa city,01/01/2020,2020,January,2480,480,0.162
Commerce city,01/01/2020,2020,January,5700,300,0.054
Compton city,01/01/2020,2020,January,37400,2500,0.062
Concord city,01/01/2020,2020,January,63800,1900,0.029
Concow CDP,01/01/2020,2020,January,200,0,0.118
Copperopolis CDP,01/01/2020,2020,January,2280,110,0.046
Corcoran city,01/01/2020,2020,January,3800,800,0.179
Corning city,01/01/2020,2020,January,2780,220,0.074
Corona city,01/01/2020,2020,January,82200,2700,0.031
Coronado city,01/01/2020,2020,January,7400,200,0.028
Corralitos CDP,01/01/2020,2020,January,1100,100,0.055
Corte Madera town,01/01/2020,2020,January,5400,200,0.031
Costa Mesa city,01/01/2020,2020,January,64400,1700,0.026
Cotati city,01/01/2020,2020,January,4200,100,0.031
Coto de Caza CDP,01/01/2020,2020,January,7500,200,0.027
Cottonwood CDP,01/01/2020,2020,January,1300,100,0.051
Country Club CDP,01/01/2020,2020,January,4100,500,0.113
Covelo CDP,01/01/2020,2020,January,390,30,0.06
Covina city,01/01/2020,2020,January,23300,1200,0.048
Crescent City city,01/01/2020,2020,January,1380,80,0.053
Crescent Mills CDP,01/01/2020,2020,January,110,0,0
Crestline CDP,01/01/2020,2020,January,4300,100,0.024
C Road CDP,01/01/2020,2020,January,50,10,0.145
Crockett CDP,01/01/2020,2020,January,1600,100,0.047
Cromberg CDP,01/01/2020,2020,January,80,0,0
Cudahy city,01/01/2020,2020,January,9800,500,0.046
Culver City city,01/01/2020,2020,January,22400,1000,0.041
Cupertino city,01/01/2020,2020,January,29100,800,0.026
Cutler CDP,01/01/2020,2020,January,2200,300,0.117
Cypress city,01/01/2020,2020,January,24400,700,0.029
Daly City city,01/01/2020,2020,January,64600,1400,0.021
Dana Point city,01/01/2020,2020,January,18300,500,0.028
Danville town,01/01/2020,2020,January,20100,600,0.027
Darwin CDP,01/01/2020,2020,January,10,0,0
Davis city,01/01/2020,2020,January,34600,900,0.026
Day Valley CDP,01/01/2020,2020,January,1500,100,0.058
Deer Park CDP,01/01/2020,2020,January,300,0,0.058
Del Aire CDP,01/01/2020,2020,January,5400,200,0.036
Delano city,01/01/2020,2020,January,17100,5600,0.245
Delhi CDP,01/01/2020,2020,January,4800,500,0.093
Delleker CDP,01/01/2020,2020,January,150,0,0
Del Mar city,01/01/2020,2020,January,2300,100,0.024
Del Monte Forest CDP,01/01/2020,2020,January,1500,200,0.111
Del Rey CDP,01/01/2020,2020,January,500,100,0.103
Del Rey Oaks city,01/01/2020,2020,January,800,100,0.105
Denair CDP,01/01/2020,2020,January,2300,100,0.061
Derby Acres CDP,01/01/2020,2020,January,100,0,0.016
Desert Hot Springs city,01/01/2020,2020,January,11000,700,0.061
Desert View Highlands CDP,01/01/2020,2020,January,1000,100,0.071
Diablo CDP,01/01/2020,2020,January,100,0,0
Diamond Bar city,01/01/2020,2020,January,29800,1100,0.035
Diamond Springs CDP,01/01/2020,2020,January,5000,300,0.049
Dinuba city,01/01/2020,2020,January,9200,1600,0.148
Discovery Bay CDP,01/01/2020,2020,January,7600,200,0.03
Dixon city,01/01/2020,2020,January,9300,400,0.041
Dixon Lane Meadow Creek CDP,01/01/2020,2020,January,1180,50,0.044
Dollar Point CDP,01/01/2020,2020,January,500,0,0.023
Dorrington CDP,01/01/2020,2020,January,70,0,0.053
Dos Palos city,01/01/2020,2020,January,2000,200,0.074
Downey city,01/01/2020,2020,January,55900,2400,0.042
Duarte city,01/01/2020,2020,January,10600,600,0.054
Dublin city,01/01/2020,2020,January,31600,800,0.024
Ducor CDP,01/01/2020,2020,January,200,0,0.1
Dunsmuir city,01/01/2020,2020,January,600,30,0.051
Durham CDP,01/01/2020,2020,January,2700,100,0.026
Dustin Acres CDP,01/01/2020,2020,January,200,0,0.039
Earlimart CDP,01/01/2020,2020,January,3300,700,0.166
East Foothills CDP,01/01/2020,2020,January,3600,100,0.016
East Hemet CDP,01/01/2020,2020,January,7800,600,0.066
East Los Angeles CDP,01/01/2020,2020,January,52600,4200,0.074
East Oakdale CDP,01/01/2020,2020,January,1500,100,0.056
Easton CDP,01/01/2020,2020,January,1000,100,0.085
East Orosi CDP,01/01/2020,2020,January,300,100,0.323
East Palo Alto city,01/01/2020,2020,January,14800,400,0.028
East Pasadena CDP,01/01/2020,2020,January,3100,100,0.018
East Porterville CDP,01/01/2020,2020,January,2000,700,0.25
East Quincy CDP,01/01/2020,2020,January,1120,20,0.015
East Richmond Heights CDP,01/01/2020,2020,January,1900,0,0.015
East San Gabriel CDP,01/01/2020,2020,January,7600,100,0.017
East Shore CDP,01/01/2020,2020,January,40,110,0.752
East Sonora CDP,01/01/2020,2020,January,940,0,0
Eastvale City city,01/01/2020,2020,January,31900,1000,0.03
Edwards AFB CDP,01/01/2020,2020,January,400,0,0.097
