county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Alameda County,5/11/20,533,334,91,91,
Alpine County,5/11/20,,,,,
Amador County,5/11/20,,,,,
Butte County,5/11/20,118,118,,,
Calaveras County,5/11/20,73,25,,,
Colusa County,5/11/20,,,,,
Contra Costa County,5/11/20,577,252,,,
Del Norte County,5/11/20,19,,,,
El Dorado County,5/11/20,26,,,,
Fresno County,5/11/20,305,250,28,28,
Glenn County,5/11/20,,,,,
Humboldt County,5/11/20,64,40,15,,
Imperial County,5/11/20,,,37,,
Inyo County,5/11/20,,,,,
Kern County,5/11/20,,,15,15,
Kings County,5/11/20,41,,,,
Lake County,5/11/20,15,,,,
Lassen County,5/11/20,,,,,
Los Angeles County,5/11/20,3822,1974,651,651,
Madera County ,5/11/20,21,21,,,
Marin County ,5/11/20,189,103,44,,
Mariposa County,5/11/20,44,13,,,
Mendocino County,5/11/20,183,143,,,
Merced County,5/11/20,112,74,,,
Modoc County,5/11/20,,,,,
Mono County,5/11/20,,,,,
Monterey County,5/11/20,142,24,108,15,
Napa County ,5/11/20,97,53,18,12,
Nevada County ,5/11/20,70,,,,
Orange County,5/11/20,666,196,78,78,
Placer County,5/11/20,73,30,12,12,
Plumas County,5/11/20,,,,,
Riverside County,5/11/20,266,266,15,15,
Sacramento County,5/11/20,420,273,63,63,
San Benito County,5/11/20,67,44,,,
San Bernardino County,5/11/20,50,37,20,,20
San Diego County,5/11/20,2029,409,44,44,
San Francisco,5/11/20,2351,974,91,91,
San Joaquin County,5/11/20,76,32,,,
San Luis Obispo County,5/11/20,155,,14,14,
San Mateo County,5/11/20,156,156,,,
Santa Barbara County,5/11/20,122,106,,,
Santa Clara County,5/11/20,709,351,105,105,
Santa Cruz County,5/11/20,63,48,35,,
Shasta County,5/11/20,25,17,,,
Sierra County,5/11/20,,,,,
Siskiyou County,5/11/20,,,,,
Solano County,5/11/20,238,18,,,
Sonoma County,5/11/20,157,71,,,
Stanislaus County,5/11/20,121,85,,,
Sutter County,5/11/20,19,19,,,
Tehama County,5/11/20,,,,,
Trinity County,5/11/20,,,,,
Tulare County,5/11/20,56,16,,,
Tuolumne County,5/11/20,50,,,,
Ventura County,5/11/20,388,316,,,
Yolo County,5/11/20,246,224,,,
Yuba County,5/11/20,28,22,,,
Wilton Rancheria Tribe,5/11/20,,,,,
Bishop Paiute Tribal Council,5/11/20,,,,,
Alameda County,5/12/20,533,334,91,91,
Alpine County,5/12/20,,,,,
Amador County,5/12/20,,,,,
Butte County,5/12/20,118,118,,,
Calaveras County,5/12/20,73,25,,,
Colusa County,5/12/20,,,,,
Contra Costa County,5/12/20,576,254,,,
Del Norte County,5/12/20,19,,,,
El Dorado County,5/12/20,26,,,,
Fresno County,5/12/20,305,250,28,28,
Glenn County,5/12/20,,,,,
Humboldt County,5/12/20,64,40,15,,
Imperial County,5/12/20,132,132,37,,
Inyo County,5/12/20,,,,,
Kern County,5/12/20,,,15,15,
Kings County,5/12/20,41,,,,
Lake County,5/12/20,15,,,,
Lassen County,5/12/20,,,,,
Los Angeles County,5/12/20,3822,1965,651,651,
Madera County ,5/12/20,21,21,,,
Marin County ,5/12/20,189,103,44,,
Mariposa County,5/12/20,44,16,,,
Mendocino County,5/12/20,183,143,,,
Merced County,5/12/20,112,74,,,
Modoc County,5/12/20,,,,,
Mono County,5/12/20,,,,,
Monterey County,5/12/20,142,24,108,15,
Napa County ,5/12/20,97,53,18,12,
Nevada County ,5/12/20,70,,,,
Orange County,5/12/20,666,202,78,78,
Placer County,5/12/20,73,30,12,12,
Plumas County,5/12/20,,,,,
Riverside County,5/12/20,278,278,15,15,
Sacramento County,5/12/20,420,275,63,63,
San Benito County,5/12/20,67,57,,,
San Bernardino County,5/12/20,50,37,20,,20
San Diego County,5/12/20,2029,409,44,44,
San Francisco,5/12/20,2508,978,91,91,
San Joaquin County,5/12/20,76,32,,,
San Luis Obispo County,5/12/20,155,,14,14,
San Mateo County,5/12/20,158,158,,,
Santa Barbara County,5/12/20,115,107,,,
Santa Clara County,5/12/20,709,361,105,105,
Santa Cruz County,5/12/20,63,47,35,,
Shasta County,5/12/20,29,20,,,
Sierra County,5/12/20,,,,,
Siskiyou County,5/12/20,,,,,
Solano County,5/12/20,238,19,,,
Sonoma County,5/12/20,157,71,,,
Stanislaus County,5/12/20,121,85,,,
Sutter County,5/12/20,19,19,,,
Tehama County,5/12/20,,,,,
Trinity County,5/12/20,,,,,
Tulare County,5/12/20,56,18,,,
Tuolumne County,5/12/20,50,,,,
Ventura County,5/12/20,388,314,,,
Yolo County,5/12/20,246,226,,,
Yuba County,5/12/20,29,22,,,
Wilton Rancheria Tribe,5/12/20,,,,,
Bishop Paiute Tribal Council,5/12/20,,,,,
Alameda County,5/13/20,533,350,91,91,
Alpine County,5/13/20,,,,,
Amador County,5/13/20,,,,,
Butte County,5/13/20,116,116,,,
Calaveras County,5/13/20,73,25,,,
Colusa County,5/13/20,,,,,
Contra Costa County,5/13/20,575,272,,,
Del Norte County,5/13/20,19,,,,
El Dorado County,5/13/20,26,17,,,
Fresno County,5/13/20,305,250,28,28,
Glenn County,5/13/20,,,,,
Humboldt County,5/13/20,64,40,15,,
Imperial County,5/13/20,132,132,37,,
Inyo County,5/13/20,,,,,
Kern County,5/13/20,,,15,15,
Kings County,5/13/20,41,11,,,
Lake County,5/13/20,15,,,,
Lassen County,5/13/20,,,,,
Los Angeles County,5/13/20,3822,1995,651,651,
Madera County ,5/13/20,21,21,,,
Marin County ,5/13/20,191,106,44,,
Mariposa County,5/13/20,44,17,,,
Mendocino County,5/13/20,186,146,,,
Merced County,5/13/20,112,74,,,
Modoc County,5/13/20,,,,,
Mono County,5/13/20,,,,,
Monterey County,5/13/20,142,24,108,15,
Napa County ,5/13/20,97,53,18,12,
Nevada County ,5/13/20,70,,,,
Orange County,5/13/20,666,221,78,78,
Placer County,5/13/20,73,34,12,12,
Plumas County,5/13/20,,,,,
Riverside County,5/13/20,280,280,15,15,
Sacramento County,5/13/20,420,275,63,63,
San Benito County,5/13/20,67,56,,,
San Bernardino County,5/13/20,50,37,20,,20
San Diego County,5/13/20,2029,409,44,44,
San Francisco,5/13/20,2508,990,91,91,
San Joaquin County,5/13/20,76,35,,,
San Luis Obispo County,5/13/20,155,,14,14,
San Mateo County,5/13/20,156,156,,,
Santa Barbara County,5/13/20,115,109,,,
Santa Clara County,5/13/20,709,363,105,105,
Santa Cruz County,5/13/20,63,48,35,,
Shasta County,5/13/20,29,20,,,
Sierra County,5/13/20,,,,,
Siskiyou County,5/13/20,,,,,
Solano County,5/13/20,238,20,,,
Sonoma County,5/13/20,157,52,,,
Stanislaus County,5/13/20,121,90,,,
Sutter County,5/13/20,19,19,,,
Tehama County,5/13/20,,,,,
Trinity County,5/13/20,,,,,
Tulare County,5/13/20,56,19,,,
Tuolumne County,5/13/20,50,,,,
Ventura County,5/13/20,388,317,,,
Yolo County,5/13/20,246,230,,,
Yuba County,5/13/20,29,22,,,
Wilton Rancheria Tribe,5/13/20,,,,,
Bishop Paiute Tribal Council,5/13/20,,,,,
Alameda County,5/14/20,533,350,91,91,
Alpine County,5/14/20,,,,,
Amador County,5/14/20,,,,,
Butte County,5/14/20,116,116,,,
Calaveras County,5/14/20,73,25,,,
Colusa County,5/14/20,,,,,
Contra Costa County,5/14/20,575,279,,,
Del Norte County,5/14/20,19,,,,
El Dorado County,5/14/20,26,18,,,
Fresno County,5/14/20,305,250,28,28,
Glenn County,5/14/20,,,,,
Humboldt County,5/14/20,64,40,15,,
Imperial County,5/14/20,132,132,37,,
Inyo County,5/14/20,,,,,
Kern County,5/14/20,,,15,15,
Kings County,5/14/20,41,19,,,
Lake County,5/14/20,15,,,,
Lassen County,5/14/20,,,,,
Los Angeles County,5/14/20,3862,2051,651,651,
Madera County ,5/14/20,21,21,,,
Marin County ,5/14/20,191,109,44,,
Mariposa County,5/14/20,44,16,,,
Mendocino County,5/14/20,185,145,,,
Merced County,5/14/20,112,74,,,
Modoc County,5/14/20,,,,,
Mono County,5/14/20,,,,,
Monterey County,5/14/20,142,32,108,15,
Napa County ,5/14/20,97,53,18,12,
Nevada County ,5/14/20,70,,,,
Orange County,5/14/20,666,246,78,78,
Placer County,5/14/20,73,34,12,12,
Plumas County,5/14/20,,,,,
Riverside County,5/14/20,286,286,15,15,
Sacramento County,5/14/20,420,275,63,63,
San Benito County,5/14/20,67,55,,,
San Bernardino County,5/14/20,50,37,20,,20
San Diego County,5/14/20,2029,409,44,44,
San Francisco,5/14/20,2508,995,91,91,
San Joaquin County,5/14/20,76,35,,,
San Luis Obispo County,5/14/20,155,,14,14,
San Mateo County,5/14/20,158,158,,,
Santa Barbara County,5/14/20,116,111,,,
Santa Clara County,5/14/20,709,368,105,105,
Santa Cruz County,5/14/20,118,59,35,,
Shasta County,5/14/20,29,20,,,
Sierra County,5/14/20,,,,,
Siskiyou County,5/14/20,,,,,
Solano County,5/14/20,238,21,,,
Sonoma County,5/14/20,157,52,,,
Stanislaus County,5/14/20,121,90,,,
Sutter County,5/14/20,19,19,,,
Tehama County,5/14/20,,,,,
Trinity County,5/14/20,,,,,
Tulare County,5/14/20,56,21,,,
Tuolumne County,5/14/20,50,,,,
Ventura County,5/14/20,388,320,,,
Yolo County,5/14/20,246,231,,,
Yuba County,5/14/20,32,22,,,
Wilton Rancheria Tribe,5/14/20,,,,,
Bishop Paiute Tribal Council,5/14/20,,,,,
Alameda County,5/15/20,533,348,91,91,
Alpine County,5/15/20,,,,,
Amador County,5/15/20,,,,,
Butte County,5/15/20,115,115,,,
Calaveras County,5/15/20,73,25,,,
Colusa County,5/15/20,,,,,
Contra Costa County,5/15/20,574,310,,,
Del Norte County,5/15/20,20,,,,
El Dorado County,5/15/20,26,15,,,
Fresno County,5/15/20,305,250,28,28,
Glenn County,5/15/20,,,,,
Humboldt County,5/15/20,64,40,15,,
Imperial County,5/15/20,132,132,37,,
Inyo County,5/15/20,,,,,
Kern County,5/15/20,,,15,15,
Kings County,5/15/20,41,32,,,
Lake County,5/15/20,15,,,,
Lassen County,5/15/20,,,,,
Los Angeles County,5/15/20,3964,2170,651,651,
Madera County ,5/15/20,24,21,,,
Marin County ,5/15/20,191,112,44,,
Mariposa County,5/15/20,44,16,,,
Mendocino County,5/15/20,185,145,,,
Merced County,5/15/20,112,74,,,
Modoc County,5/15/20,,,,,
Mono County,5/15/20,,,,,
Monterey County,5/15/20,142,32,108,15,
Napa County ,5/15/20,97,53,18,12,
Nevada County ,5/15/20,70,,,,
Orange County,5/15/20,666,246,78,78,
Placer County,5/15/20,73,34,12,12,
Plumas County,5/15/20,,,,,
Riverside County,5/15/20,286,286,15,15,
Sacramento County,5/15/20,420,275,63,63,
San Benito County,5/15/20,67,42,,,
San Bernardino County,5/15/20,50,37,20,,20
San Diego County,5/15/20,2029,409,44,44,
San Francisco,5/15/20,2508,988,91,91,
San Joaquin County,5/15/20,76,38,,,
San Luis Obispo County,5/15/20,155,,14,14,
San Mateo County,5/15/20,158,158,,,
Santa Barbara County,5/15/20,116,114,,,
Santa Clara County,5/15/20,689,366,105,105,
Santa Cruz County,5/15/20,118,64,35,,
Shasta County,5/15/20,29,20,,,
Sierra County,5/15/20,,,,,
Siskiyou County,5/15/20,,,,,
Solano County,5/15/20,238,25,,,
Sonoma County,5/15/20,157,52,,,
Stanislaus County,5/15/20,121,90,,,
Sutter County,5/15/20,19,19,,,
Tehama County,5/15/20,,,,,
Trinity County,5/15/20,,,,,
Tulare County,5/15/20,113,24,,,
Tuolumne County,5/15/20,50,,,,
Ventura County,5/15/20,388,319,,,
Yolo County,5/15/20,246,231,,,
Yuba County,5/15/20,25,21,,,
Wilton Rancheria Tribe,5/15/20,,,,,
Bishop Paiute Tribal Council,5/15/20,,,,,
Alameda County,5/16/20,533,348,91,91,
Alpine County,5/16/20,,,,,
Amador County,5/16/20,,,,,
Butte County,5/16/20,115,115,,,
Calaveras County,5/16/20,73,25,,,
Colusa County,5/16/20,,,,,
Contra Costa County,5/16/20,574,310,,,
Del Norte County,5/16/20,20,,,,
El Dorado County,5/16/20,26,15,,,
Fresno County,5/16/20,305,250,28,28,
Glenn County,5/16/20,,,,,
Humboldt County,5/16/20,74,50,15,,
Imperial County,5/16/20,132,132,37,,
Inyo County,5/16/20,,,,,
Kern County,5/16/20,,,15,15,
Kings County,5/16/20,41,36,,,
Lake County,5/16/20,15,,,,
Lassen County,5/16/20,,,,,
Los Angeles County,5/16/20,3964,2170,651,651,
Madera County ,5/16/20,24,21,,,
Marin County ,5/16/20,191,112,44,,
Mariposa County,5/16/20,44,16,,,
Mendocino County,5/16/20,185,145,,,
Merced County,5/16/20,112,74,,,
Modoc County,5/16/20,,,,,
Mono County,5/16/20,,,,,
Monterey County,5/16/20,142,32,108,15,
Napa County ,5/16/20,97,53,18,12,
Nevada County ,5/16/20,70,,,,
Orange County,5/16/20,666,246,78,78,
Placer County,5/16/20,73,34,12,12,
Plumas County,5/16/20,,,,,
Riverside County,5/16/20,299,299,15,15,
Sacramento County,5/16/20,420,275,63,63,
San Benito County,5/16/20,67,42,,,
San Bernardino County,5/16/20,50,37,20,,20
San Diego County,5/16/20,2029,409,44,44,
San Francisco,5/16/20,2508,978,91,91,
San Joaquin County,5/16/20,76,38,,,
San Luis Obispo County,5/16/20,155,,14,14,
San Mateo County,5/16/20,158,158,,,
Santa Barbara County,5/16/20,116,114,,,
Santa Clara County,5/16/20,689,364,105,105,
Santa Cruz County,5/16/20,118,64,35,,
Shasta County,5/16/20,29,20,,,
Sierra County,5/16/20,,,,,
Siskiyou County,5/16/20,,,,,
Solano County,5/16/20,238,25,,,
Sonoma County,5/16/20,157,52,,,
Stanislaus County,5/16/20,121,89,,,
Sutter County,5/16/20,19,19,,,
Tehama County,5/16/20,,,,,
Trinity County,5/16/20,,,,,
Tulare County,5/16/20,113,24,,,
Tuolumne County,5/16/20,50,,,,
Ventura County,5/16/20,388,319,,,
Yolo County,5/16/20,246,231,,,
Yuba County,5/16/20,28,20,,,
Wilton Rancheria Tribe,5/16/20,,,,,
Bishop Paiute Tribal Council,5/16/20,,,,,
Alameda County,5/17/20,533,352,91,91,
Alpine County,5/17/20,,,,,
Amador County,5/17/20,,,,,
Butte County,5/17/20,115,115,,,
Calaveras County,5/17/20,73,25,,,
Colusa County,5/17/20,,,,,
Contra Costa County,5/17/20,574,291,,,
Del Norte County,5/17/20,20,,,,
El Dorado County,5/17/20,26,15,,,
Fresno County,5/17/20,305,250,28,28,
Glenn County,5/17/20,,,,,
Humboldt County,5/17/20,74,50,15,,
Imperial County,5/17/20,132,132,37,,
Inyo County,5/17/20,,,,,
Kern County,5/17/20,,,15,15,
Kings County,5/17/20,41,37,,,
Lake County,5/17/20,15,,,,
Lassen County,5/17/20,,,,,
Los Angeles County,5/17/20,3964,2281,651,651,
Madera County ,5/17/20,24,21,,,
Marin County ,5/17/20,191,112,44,,
Mariposa County,5/17/20,44,16,,,
Mendocino County,5/17/20,185,145,,,
Merced County,5/17/20,112,74,,,
Modoc County,5/17/20,,,,,
Mono County,5/17/20,,,,,
Monterey County,5/17/20,142,28,108,15,
Napa County ,5/17/20,97,53,18,12,
Nevada County ,5/17/20,70,,,,
Orange County,5/17/20,666,246,78,78,
Placer County,5/17/20,73,34,12,12,
Plumas County,5/17/20,,,,,
Riverside County,5/17/20,299,299,15,15,
Sacramento County,5/17/20,420,275,63,63,
San Benito County,5/17/20,67,40,,,
San Bernardino County,5/17/20,50,37,20,,20
San Diego County,5/17/20,2029,409,44,44,
San Francisco,5/17/20,2508,995,91,91,
San Joaquin County,5/17/20,76,38,,,
San Luis Obispo County,5/17/20,155,,14,14,
San Mateo County,5/17/20,158,158,,,
Santa Barbara County,5/17/20,139,112,,,
Santa Clara County,5/17/20,689,360,105,105,
Santa Cruz County,5/17/20,118,69,35,,
Shasta County,5/17/20,29,20,,,
Sierra County,5/17/20,,,,,
Siskiyou County,5/17/20,,,,,
Solano County,5/17/20,238,25,,,
Sonoma County,5/17/20,157,52,,,
Stanislaus County,5/17/20,121,89,,,
Sutter County,5/17/20,19,19,,,
Tehama County,5/17/20,,,,,
Trinity County,5/17/20,,,,,
Tulare County,5/17/20,113,24,,,
Tuolumne County,5/17/20,50,,,,
Ventura County,5/17/20,388,319,,,
Yolo County,5/17/20,246,231,,,
Yuba County,5/17/20,28,20,,,
Wilton Rancheria Tribe,5/17/20,,,,,
Bishop Paiute Tribal Council,5/17/20,,,,,
Alameda County,5/18/20,533,352,91,91,
Alpine County,5/18/20,,,,,
Amador County,5/18/20,,,,,
Butte County,5/18/20,117,117,,,
Calaveras County,5/18/20,73,25,,,
Colusa County,5/18/20,,,,,
Contra Costa County,5/18/20,574,288,,,
Del Norte County,5/18/20,20,,,,
El Dorado County,5/18/20,26,15,,,
Fresno County,5/18/20,305,250,28,28,
Glenn County,5/18/20,,,,,
Humboldt County,5/18/20,74,51,15,,
Imperial County,5/18/20,132,132,37,,
Inyo County,5/18/20,,,,,
Kern County,5/18/20,,,15,15,
Kings County,5/18/20,41,38,,,
Lake County,5/18/20,15,,,,
Lassen County,5/18/20,,,,,
Los Angeles County,5/18/20,3964,2314,651,651,
Madera County ,5/18/20,24,21,,,
Marin County ,5/18/20,191,110,44,,
Mariposa County,5/18/20,44,15,,,
Mendocino County,5/18/20,185,145,,,
Merced County,5/18/20,112,74,,,
Modoc County,5/18/20,,,,,
Mono County,5/18/20,,,,,
Monterey County,5/18/20,142,28,108,15,
Napa County ,5/18/20,97,53,18,12,
Nevada County ,5/18/20,70,,,,
Orange County,5/18/20,666,290,78,78,
Placer County,5/18/20,73,34,12,12,
Plumas County,5/18/20,,,,,
Riverside County,5/18/20,302,302,15,15,
Sacramento County,5/18/20,423,322,63,63,
San Benito County,5/18/20,67,49,,,
San Bernardino County,5/18/20,50,37,20,,20
San Diego County,5/18/20,2029,409,44,44,
San Francisco,5/18/20,2678,982,91,91,
San Joaquin County,5/18/20,76,38,,,
San Luis Obispo County,5/18/20,155,,14,14,
San Mateo County,5/18/20,160,160,,,
Santa Barbara County,5/18/20,136,110,,,
Santa Clara County,5/18/20,689,380,105,105,
Santa Cruz County,5/18/20,118,69,35,,
Shasta County,5/18/20,29,20,,,
Sierra County,5/18/20,,,,,
Siskiyou County,5/18/20,,,,,
Solano County,5/18/20,238,25,,,
Sonoma County,5/18/20,157,52,,,
Stanislaus County,5/18/20,121,85,,,
Sutter County,5/18/20,19,19,,,
Tehama County,5/18/20,,,,,
Trinity County,5/18/20,,,,,
Tulare County,5/18/20,113,24,,,
Tuolumne County,5/18/20,50,,,,
Ventura County,5/18/20,388,317,,,
Yolo County,5/18/20,246,232,,,
Yuba County,5/18/20,28,20,,,
Wilton Rancheria Tribe,5/18/20,,,,,
Bishop Paiute Tribal Council,5/18/20,,,,,
Alameda County,5/19/20,533,357,91,91,
Alpine County,5/19/20,,,,,
Amador County,5/19/20,,,,,
Butte County,5/19/20,117,117,,,
Calaveras County,5/19/20,73,25,,,
Colusa County,5/19/20,,,,,
Contra Costa County,5/19/20,574,324,,,
Del Norte County,5/19/20,20,,,,
El Dorado County,5/19/20,26,15,,,
Fresno County,5/19/20,305,250,28,28,
Glenn County,5/19/20,,,,,
Humboldt County,5/19/20,74,51,15,,
Imperial County,5/19/20,132,132,37,,
Inyo County,5/19/20,,,,,
Kern County,5/19/20,,,15,15,
Kings County,5/19/20,41,39,,,
Lake County,5/19/20,15,,,,
Lassen County,5/19/20,,,,,
Los Angeles County,5/19/20,4056,2359,651,651,
Madera County ,5/19/20,24,21,,,
Marin County ,5/19/20,191,111,44,,
Mariposa County,5/19/20,44,15,,,
Mendocino County,5/19/20,185,145,,,
Merced County,5/19/20,112,74,,,
Modoc County,5/19/20,,,,,
Mono County,5/19/20,,,,,
Monterey County,5/19/20,142,28,108,15,
Napa County ,5/19/20,97,53,18,12,
Nevada County ,5/19/20,70,,,,
Orange County,5/19/20,666,299,78,78,
Placer County,5/19/20,73,37,12,12,
Plumas County,5/19/20,,,,,
Riverside County,5/19/20,307,307,15,15,
Sacramento County,5/19/20,423,329,63,63,
San Benito County,5/19/20,67,52,,,
San Bernardino County,5/19/20,50,37,20,,20
San Diego County,5/19/20,2029,197,44,44,
San Francisco,5/19/20,2678,988,91,91,
San Joaquin County,5/19/20,76,42,,,
San Luis Obispo County,5/19/20,155,,14,14,
San Mateo County,5/19/20,161,161,,,
Santa Barbara County,5/19/20,142,118,,,
Santa Clara County,5/19/20,689,416,105,105,
Santa Cruz County,5/19/20,118,70,35,,
Shasta County,5/19/20,29,20,,,
Sierra County,5/19/20,,,,,
Siskiyou County,5/19/20,,,,,
Solano County,5/19/20,238,25,,,
Sonoma County,5/19/20,157,52,,,
Stanislaus County,5/19/20,121,85,,,
Sutter County,5/19/20,19,19,,,
Tehama County,5/19/20,,,,,
Trinity County,5/19/20,,,,,
Tulare County,5/19/20,113,29,,,
Tuolumne County,5/19/20,50,,,,
Ventura County,5/19/20,388,319,,,
Yolo County,5/19/20,246,232,,,
Yuba County,5/19/20,37,20,,,
Wilton Rancheria Tribe,5/19/20,,,,,
Bishop Paiute Tribal Council,5/19/20,,,,,
Alameda County,5/20/20,533,357,91,91,
Alpine County,5/20/20,,,,,
Amador County,5/20/20,,,,,
Butte County,5/20/20,118,118,,,
Calaveras County,5/20/20,73,23,,,
Colusa County,5/20/20,,,,,
Contra Costa County,5/20/20,574,335,,,
Del Norte County,5/20/20,20,,,,
El Dorado County,5/20/20,26,15,,,
Fresno County,5/20/20,305,250,28,28,
Glenn County,5/20/20,,,,,
Humboldt County,5/20/20,74,51,15,,
Imperial County,5/20/20,132,132,37,,
Inyo County,5/20/20,,,,,
Kern County,5/20/20,,,15,15,
Kings County,5/20/20,41,39,,,
Lake County,5/20/20,15,,,,
Lassen County,5/20/20,,,,,
Los Angeles County,5/20/20,4233,2352,651,651,
Madera County ,5/20/20,24,21,,,
Marin County ,5/20/20,191,112,44,,
Mariposa County,5/20/20,44,16,,,
Mendocino County,5/20/20,187,148,,,
Merced County,5/20/20,112,74,,,
Modoc County,5/20/20,,,,,
Mono County,5/20/20,,,,,
Monterey County,5/20/20,142,28,108,15,
Napa County ,5/20/20,97,53,18,12,
Nevada County ,5/20/20,70,,,,
Orange County,5/20/20,666,315,78,78,
Placer County,5/20/20,73,40,12,12,
Plumas County,5/20/20,,,,,
Riverside County,5/20/20,316,316,15,15,
Sacramento County,5/20/20,423,338,63,63,
San Benito County,5/20/20,67,56,,,
San Bernardino County,5/20/20,50,37,20,,20
San Diego County,5/20/20,1674,295,44,44,
San Francisco,5/20/20,2678,999,91,91,
San Joaquin County,5/20/20,76,42,,,
San Luis Obispo County,5/20/20,155,,14,14,
San Mateo County,5/20/20,162,162,,,
Santa Barbara County,5/20/20,143,119,,,
Santa Clara County,5/20/20,689,433,105,105,
Santa Cruz County,5/20/20,118,71,35,,
Shasta County,5/20/20,29,20,,,
Sierra County,5/20/20,,,,,
Siskiyou County,5/20/20,,,,,
Solano County,5/20/20,238,29,,,
Sonoma County,5/20/20,157,52,,,
Stanislaus County,5/20/20,121,90,,,
Sutter County,5/20/20,19,19,,,
Tehama County,5/20/20,,,,,
Trinity County,5/20/20,,,,,
Tulare County,5/20/20,113,29,,,
Tuolumne County,5/20/20,50,,,,
Ventura County,5/20/20,388,320,,,
Yolo County,5/20/20,246,232,,,
Yuba County,5/20/20,33,20,,,
Wilton Rancheria Tribe,5/20/20,,,,,
Bishop Paiute Tribal Council,5/20/20,,,,,
Alameda County,5/21/20,533,412,91,91,
Alpine County,5/21/20,,,,,
Amador County,5/21/20,,,,,
Butte County,5/21/20,118,118,,,
Calaveras County,5/21/20,73,23,,,
Colusa County,5/21/20,,,,,
Contra Costa County,5/21/20,568,350,,,
Del Norte County,5/21/20,20,,,,
El Dorado County,5/21/20,26,14,,,
Fresno County,5/21/20,305,250,28,28,
Glenn County,5/21/20,,,,,
Humboldt County,5/21/20,74,49,15,,
Imperial County,5/21/20,132,132,37,,
Inyo County,5/21/20,,,,,
Kern County,5/21/20,,,15,15,
Kings County,5/21/20,41,36,,,
Lake County,5/21/20,15,,,,
Lassen County,5/21/20,,,,,
Los Angeles County,5/21/20,4233,2463,651,651,
Madera County ,5/21/20,24,21,,,
Marin County ,5/21/20,191,111,44,,
Mariposa County,5/21/20,44,15,,,
Mendocino County,5/21/20,189,150,,,
Merced County,5/21/20,112,74,,,
Modoc County,5/21/20,,,,,
Mono County,5/21/20,,,,,
Monterey County,5/21/20,142,98,108,15,
Napa County ,5/21/20,97,50,18,12,
Nevada County ,5/21/20,70,,,,
Orange County,5/21/20,666,340,78,78,
Placer County,5/21/20,73,40,12,12,
Plumas County,5/21/20,,,,,
Riverside County,5/21/20,314,314,15,15,
Sacramento County,5/21/20,423,355,63,63,
San Benito County,5/21/20,67,51,,,
San Bernardino County,5/21/20,50,37,20,,20
San Diego County,5/21/20,1617,288,44,44,
San Francisco,5/21/20,2678,1011,91,91,
San Joaquin County,5/21/20,76,44,,,
San Luis Obispo County,5/21/20,155,,14,14,
San Mateo County,5/21/20,163,163,,,
Santa Barbara County,5/21/20,144,119,,,
Santa Clara County,5/21/20,689,433,105,105,
Santa Cruz County,5/21/20,118,77,35,,
Shasta County,5/21/20,30,25,,,
Sierra County,5/21/20,,,,,
Siskiyou County,5/21/20,,,,,
Solano County,5/21/20,238,36,,,
Sonoma County,5/21/20,157,82,,,
Stanislaus County,5/21/20,121,93,,,
Sutter County,5/21/20,19,19,,,
Tehama County,5/21/20,,,,,
Trinity County,5/21/20,,,,,
Tulare County,5/21/20,113,36,,,
Tuolumne County,5/21/20,50,,,,
Ventura County,5/21/20,388,326,,,
Yolo County,5/21/20,246,230,,,
Yuba County,5/21/20,33,20,,,
Wilton Rancheria Tribe,5/21/20,,,,,
Bishop Paiute Tribal Council,5/21/20,,,,,
Alameda County,5/22/20,533,412,91,91,
Alpine County,5/22/20,,,,,
Amador County,5/22/20,,,,,
Butte County,5/22/20,111,111,,,
Calaveras County,5/22/20,73,23,,,
Colusa County,5/22/20,,,,,
Contra Costa County,5/22/20,568,361,,,
Del Norte County,5/22/20,20,,,,
El Dorado County,5/22/20,26,13,,,
Fresno County,5/22/20,305,250,28,28,
Glenn County,5/22/20,,,,,
Humboldt County,5/22/20,74,51,15,,
Imperial County,5/22/20,132,132,37,,
Inyo County,5/22/20,,,,,
Kern County,5/22/20,,,15,15,
Kings County,5/22/20,41,39,,,
Lake County,5/22/20,15,,,,
Lassen County,5/22/20,,,,,
Los Angeles County,5/22/20,4233,2554,651,651,
Madera County ,5/22/20,17,17,,,
Marin County ,5/22/20,191,115,44,,
Mariposa County,5/22/20,44,15,,,
Mendocino County,5/22/20,189,150,,,
Merced County,5/22/20,112,74,,,
Modoc County,5/22/20,,,,,
Mono County,5/22/20,,,,,
Monterey County,5/22/20,142,98,108,15,
Napa County ,5/22/20,97,50,18,12,
Nevada County ,5/22/20,70,,,,
Orange County,5/22/20,666,356,78,78,
Placer County,5/22/20,73,40,12,12,
Plumas County,5/22/20,,,,,
Riverside County,5/22/20,330,330,15,15,
Sacramento County,5/22/20,423,355,63,63,
San Benito County,5/22/20,67,39,,,
San Bernardino County,5/22/20,50,37,20,,20
San Diego County,5/22/20,1617,277,44,44,
San Francisco,5/22/20,2678,1035,91,91,
San Joaquin County,5/22/20,76,49,,,
San Luis Obispo County,5/22/20,155,,14,14,
San Mateo County,5/22/20,163,163,,,
Santa Barbara County,5/22/20,143,120,,,
Santa Clara County,5/22/20,689,435,105,105,
Santa Cruz County,5/22/20,118,83,35,,
Shasta County,5/22/20,30,25,,,
Sierra County,5/22/20,,,,,
Siskiyou County,5/22/20,,,,,
