county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
San Luis Obispo,4/16/20,154,,14,14,
San Mateo,4/16/20,94,94,,,
Santa Barbara,4/16/20,76,,,,
Santa Clara,4/16/20,453,170,105,105,
Santa Cruz,4/16/20,27,19,35,,
Shasta,4/16/20,20,,,,
Sierra,4/16/20,,,,,
Siskiyou,4/16/20,,,,,
Solano,4/16/20,,,,,
Sonoma,4/16/20,45,45,,,
Stanislaus,4/16/20,121,,,,
Sutter,4/16/20,16,16,,,
Tehama,4/16/20,,,,,
Trinity,4/16/20,,,,,
Tulare,4/16/20,23,,,,
Tuolumne,4/16/20,,,,,
Ventura,4/16/20,398,275,,,
Yolo,4/16/20,246,206,,,
Yuba,4/16/20,30,18,,,
Alameda,4/17/20,403,299,91,85,
Alpine,4/17/20,,,,,
Amador,4/17/20,,,,,
Butte,4/17/20,71,71,,,
Calaveras,4/17/20,20,20,,,
Colusa,4/17/20,,,,,
Contra Costa,4/17/20,340,,,,
Del Norte,4/17/20,,,,,
El Dorado,4/17/20,,,,,
Fresno,4/17/20,305,250,28,28,
Glenn,4/17/20,,,,,
Humboldt,4/17/20,44,11,15,,
Imperial,4/17/20,36,,,,
Inyo,4/17/20,,,,,
Kern,4/17/20,,,15,15,
Kings,4/17/20,,,,,
Lake,4/17/20,,,,,
Lassen,4/17/20,,,,,
Los Angeles,4/17/20,3085,765,658,654,
Madera,4/17/20,,,,,
Marin,4/17/20,112,72,44,,
Mariposa,4/17/20,44,,,,
Mendocino,4/17/20,128,82,,,
Merced,4/17/20,,,,,
Mono,4/17/20,48,,,,
Modoc,4/17/20,,,,,
Monterey,4/17/20,,,108,,
Napa,4/17/20,104,47,18,,
Nevada,4/17/20,27,,,,
Orange,4/17/20,276,31,78,76,
Placer,4/17/20,15,15,,,
Plumas,4/17/20,,,,,
Riverside,4/17/20,422,303,15,15,
Sacramento,4/17/20,316,63,63,63,
San Benito,4/17/20,67,32,,,
San Bernardino,4/17/20,50,37,20,,20
San Diego,4/17/20,2029,409,45,45,
San Francisco,4/17/20,1271,748,,,
San Joaquin,4/17/20,,,,,
San Luis Obispo,4/17/20,154,,14,14,
San Mateo,4/17/20,94,94,,,
Santa Barbara,4/17/20,76,,,,
Santa Clara,4/17/20,453,234,105,105,
Santa Cruz,4/17/20,27,19,35,,
Shasta,4/17/20,20,,,,
Sierra,4/17/20,,,,,
Siskiyou,4/17/20,,,,,
Solano,4/17/20,,,,,
Sonoma,4/17/20,45,45,,,
Stanislaus,4/17/20,121,,,,
Sutter,4/17/20,16,16,,,
Tehama,4/17/20,,,,,
Trinity,4/17/20,,,,,
Tulare,4/17/20,23,,,,
Tuolumne,4/17/20,,,,,
Ventura,4/17/20,398,275,,,
Yolo,4/17/20,246,206,,,
Yuba,4/17/20,35,18,,,
Alameda,4/18/20,403,313,91,85,
Alpine,4/18/20,,,,,
Amador,4/18/20,,,,,
Butte,4/18/20,94,94,,,
Calaveras,4/18/20,20,20,,,
Colusa,4/18/20,,,,,
Contra Costa,4/18/20,340,,,,
Del Norte,4/18/20,,,,,
El Dorado,4/18/20,,,,,
Fresno,4/18/20,305,250,28,28,
Glenn,4/18/20,,,,,
Humboldt,4/18/20,44,11,15,,
Imperial,4/18/20,36,,,,
Inyo,4/18/20,,,,,
Kern,4/18/20,,,15,15,
Kings,4/18/20,,,,,
Lake,4/18/20,,,,,
